epoch_s,total_rss_kib,pids
1788999354,72448,1
1788999359,473412,1
1788999364,462012,1
1788999369,456944,1
1788999374,457432,1
1788999379,457848,1
1788999384,455956,1
1788999389,456784,1
1788999394,560212,1
1788999399,491576,1
1788999404,477744,1
1788999409,475800,1
1788999414,477632,1
1788999419,640880,1
1788999424,499340,1
1788999429,485180,1
1788999434,484392,1
1788999439,485520,1
1788999444,527540,1
1788999449,493200,1
1788999454,489680,1
1788999459,490688,1
1788999464,491184,1
1788999469,516836,1
1788999474,486036,1
1788999479,485664,1
1788999484,484640,1
