epoch_s,latency_ms,exit
1789001297.636404354,10.6,0
1789001297.700606838,8.8,0
1789001297.762900270,8.9,0
1789001297.825207904,8.4,0
1789001297.887170620,9.7,0
1789001297.950502559,8.9,0
1789001298.012648611,10.2,0
1789001298.076580979,9.3,0
1789001298.139562573,9.9,0
1789001298.203948761,10.0,0
1789001298.267740920,8.6,0
1789001298.329710877,9.2,0
1789001298.393018249,8.9,0
1789001298.455366443,9.6,0
1789001298.518410030,8.2,0
1789001298.580162572,8.9,0
1789001298.642348383,9.1,0
1789001298.704834935,9.0,0
1789001298.767518021,9.0,0
1789001298.830095950,9.3,0
1789001298.892695210,9.0,0
1789001298.955104626,8.7,0
1789001299.017314564,8.7,0
1789001299.079293064,8.3,0
1789001299.140971345,8.8,0
1789001299.203128833,8.8,0
1789001299.265300463,8.3,0
1789001299.327019765,8.0,0
1789001299.388539348,8.4,0
1789001299.450379481,8.7,0
1789001299.512760735,8.9,0
1789001299.575095790,8.8,0
1789001299.637506888,8.4,0
1789001299.699373982,8.4,0
1789001299.761202477,7.9,0
1789001299.822482481,8.9,0
1789001299.884626450,8.1,0
1789001299.946229697,8.1,0
1789001300.007652265,8.5,0
1789001300.069425838,8.5,0
1789001300.131117949,8.6,0
1789001300.192882639,8.2,0
1789001300.254528091,8.4,0
1789001300.316258479,9.3,0
1789001300.379082177,8.1,0
1789001300.440426616,8.6,0
1789001300.502429343,8.5,0
1789001300.564374934,9.8,0
1789001300.627596808,8.2,0
1789001300.689037342,8.1,0
1789001300.750508262,8.5,0
1789001300.812443207,8.5,0
1789001300.874236030,8.7,0
1789001300.936641620,8.6,0
1789001300.998832148,8.0,0
1789001301.060673904,8.2,0
1789001301.122257582,8.2,0
1789001301.183844125,8.5,0
1789001301.245701414,7.8,0
1789001301.306991373,8.3,0
1789001301.369045467,8.1,0
1789001301.430496086,8.4,0
1789001301.492260866,8.6,0
1789001301.554770522,9.2,0
1789001301.617432778,8.5,0
1789001301.679220682,8.5,0
1789001301.741144781,8.9,0
1789001301.803337893,8.6,0
1789001301.865392588,8.6,0
1789001301.927472019,8.5,0
1789001301.989579032,8.9,0
1789001302.052261608,8.6,0
1789001302.114381420,8.6,0
1789001302.176549184,8.2,0
1789001302.238010710,8.8,0
1789001302.300518253,8.4,0
1789001302.362397855,8.9,0
1789001302.424871748,8.5,0
1789001302.486596468,8.9,0
1789001302.548784122,8.5,0
1789001302.610520850,8.0,0
1789001302.672020764,8.7,0
1789001302.734204231,8.7,0
1789001302.796277283,8.6,0
1789001302.858190776,8.2,0
1789001302.919783979,8.5,0
1789001302.982086415,8.9,0
1789001303.044285346,8.2,0
1789001303.105869455,8.4,0
1789001303.167622338,8.4,0
1789001303.229334689,9.2,0
1789001303.292006298,8.1,0
1789001303.353362326,8.2,0
1789001303.414964412,8.7,0
1789001303.476897475,8.4,0
1789001303.538811318,8.9,0
1789001303.601119753,8.1,0
1789001303.662604694,8.8,0
1789001303.724572288,8.3,0
1789001303.786145231,8.3,0
1789001303.848097592,8.2,0
1789001303.909720820,8.6,0
1789001303.971538720,8.5,0
1789001304.033498212,8.1,0
1789001304.095100058,8.2,0
1789001304.156969905,9.2,0
1789001304.219843798,8.8,0
1789001304.281807516,8.2,0
1789001304.343346768,8.5,0
1789001304.405128093,8.2,0
1789001304.466559794,9.0,0
1789001304.529015680,8.3,0
1789001304.591056343,8.7,0
1789001304.653181904,8.2,0
1789001304.715060785,8.6,0
1789001304.777002170,8.5,0
1789001304.838835022,8.9,0
1789001304.900866102,8.7,0
1789001304.962917341,8.5,0
1789001305.025057634,8.6,0
1789001305.087020952,8.0,0
1789001305.148341987,8.2,0
1789001305.209998335,8.1,0
1789001305.271454512,9.1,0
1789001305.333862816,8.2,0
1789001305.395319936,8.4,0
1789001305.457587650,8.4,0
1789001305.519452760,8.5,0
1789001305.581707705,8.5,0
1789001305.643490362,10.1,0
1789001305.706990142,8.6,0
1789001305.769040100,8.7,0
1789001305.831206732,8.7,0
1789001305.893276860,8.5,0
1789001305.955517333,8.5,0
1789001306.017269594,8.6,0
1789001306.079492461,8.5,0
1789001306.141424742,9.1,0
1789001306.203957843,8.4,0
1789001306.265956675,8.3,0
1789001306.327750548,8.3,0
1789001306.389518023,8.5,0
1789001306.451353198,8.8,0
1789001306.513699219,8.5,0
1789001306.575470389,8.2,0
1789001306.637359576,8.2,0
1789001306.699018487,8.4,0
1789001306.760635516,8.3,0
1789001306.822722028,8.9,0
1789001306.885454799,8.9,0
1789001306.947868982,8.5,0
1789001307.009703978,8.1,0
1789001307.071201728,8.2,0
1789001307.132785236,8.2,0
1789001307.194360422,8.2,0
1789001307.256028177,8.7,0
1789001307.318245816,8.8,0
1789001307.380282143,8.5,0
1789001307.442469697,8.5,0
1789001307.504171492,9.3,0
1789001307.566957593,8.8,0
1789001307.629332107,9.1,0
1789001307.691820452,8.6,0
1789001307.753898942,8.6,0
1789001307.816003731,9.0,0
1789001307.878441951,8.7,0
1789001307.940529024,8.3,0
1789001308.002463849,8.5,0
1789001308.064527227,8.9,0
1789001308.126737775,8.8,0
1789001308.189265899,8.4,0
1789001308.251226282,8.9,0
1789001308.313614998,8.4,0
1789001308.375601931,8.1,0
1789001308.437544397,8.4,0
1789001308.499354265,8.9,0
1789001308.561549360,8.7,0
1789001308.623695622,8.4,0
1789001308.685311248,8.1,0
1789001308.746797892,8.3,0
1789001308.808507619,8.2,0
1789001308.870035314,8.4,0
1789001308.931602138,8.6,0
1789001308.993842992,9.1,0
1789001309.056389844,8.2,0
1789001309.117950829,8.6,0
