epoch_s,prefix,latency_ms,exit
1789001297.636557784,20.0.0.0/24,9.6,0
1789001297.648857827,3001::/48,7.8,0
1789001297.910173232,20.0.0.0/24,11.0,0
1789001297.923647634,3001::/48,8.7,0
1789001298.185844510,20.0.0.0/24,16.7,0
1789001298.205474858,3001::/48,10.1,0
1789001298.468867846,20.0.0.0/24,11.3,0
1789001298.482805173,3001::/48,10.7,0
1789001298.747371850,20.0.0.0/24,9.3,0
1789001298.759182479,3001::/48,10.4,0
1789001299.023624630,20.0.0.0/24,9.6,0
1789001299.035643642,3001::/48,10.2,0
1789001299.299069309,20.0.0.0/24,9.6,0
1789001299.311121971,3001::/48,9.1,0
1789001299.573704194,20.0.0.0/24,10.4,0
1789001299.586682714,3001::/48,9.8,0
1789001299.849870855,20.0.0.0/24,9.3,0
1789001299.861680963,3001::/48,8.9,0
1789001300.124005912,20.0.0.0/24,9.2,0
1789001300.135718324,3001::/48,9.8,0
1789001300.398804862,20.0.0.0/24,9.0,0
1789001300.410215903,3001::/48,8.6,0
1789001300.672059750,20.0.0.0/24,8.7,0
1789001300.683261066,3001::/48,9.0,0
1789001300.945630661,20.0.0.0/24,8.9,0
1789001300.957032638,3001::/48,9.2,0
1789001301.219594731,20.0.0.0/24,9.2,0
1789001301.231323047,3001::/48,9.0,0
1789001301.493719322,20.0.0.0/24,9.7,0
1789001301.505944492,3001::/48,11.3,0
1789001301.770677749,20.0.0.0/24,9.6,0
1789001301.782712224,3001::/48,8.9,0
1789001302.044935269,20.0.0.0/24,9.3,0
1789001302.056858848,3001::/48,9.9,0
1789001302.320064645,20.0.0.0/24,9.2,0
1789001302.331537228,3001::/48,10.3,0
1789001302.595350747,20.0.0.0/24,9.5,0
1789001302.607533624,3001::/48,8.8,0
1789001302.870118461,20.0.0.0/24,9.5,0
1789001302.882025966,3001::/48,8.9,0
1789001303.144081961,20.0.0.0/24,9.4,0
1789001303.156014051,3001::/48,9.0,0
1789001303.419409824,20.0.0.0/24,9.1,0
1789001303.430864059,3001::/48,9.2,0
1789001303.693498131,20.0.0.0/24,9.6,0
1789001303.705640237,3001::/48,9.7,0
1789001303.968854607,20.0.0.0/24,9.7,0
1789001303.981242572,3001::/48,9.5,0
1789001304.244108180,20.0.0.0/24,8.8,0
1789001304.255611469,3001::/48,8.7,0
1789001304.517771209,20.0.0.0/24,9.7,0
1789001304.529986475,3001::/48,10.6,0
1789001304.794039492,20.0.0.0/24,9.3,0
1789001304.805902209,3001::/48,9.7,0
1789001305.068968148,20.0.0.0/24,9.0,0
1789001305.080423485,3001::/48,8.8,0
1789001305.342663866,20.0.0.0/24,8.9,0
1789001305.353982558,3001::/48,9.1,0
1789001305.616496279,20.0.0.0/24,9.4,0
1789001305.628797663,3001::/48,9.3,0
1789001305.892201568,20.0.0.0/24,9.3,0
1789001305.904262503,3001::/48,8.6,0
1789001306.166147521,20.0.0.0/24,9.5,0
1789001306.177901596,3001::/48,9.2,0
1789001306.440415407,20.0.0.0/24,9.1,0
1789001306.452132726,3001::/48,10.2,0
1789001306.715669380,20.0.0.0/24,8.9,0
1789001306.727023335,3001::/48,9.3,0
1789001306.989575163,20.0.0.0/24,9.3,0
1789001307.001656989,3001::/48,9.1,0
1789001307.264294264,20.0.0.0/24,9.1,0
1789001307.275850462,3001::/48,9.7,0
1789001307.538933937,20.0.0.0/24,10.4,0
1789001307.551801711,3001::/48,9.2,0
1789001307.814936192,20.0.0.0/24,9.8,0
1789001307.827488873,3001::/48,10.3,0
