epoch_s,latency_ms,exit
1788998839.761299423,15.0,0
1788998839.829730823,9.6,0
1788998839.892807293,10.2,0
1788998839.956509321,10.2,0
1788998840.019966251,9.6,0
1788998840.082619957,10.5,0
1788998840.146297368,10.7,0
1788998840.210386427,20.3,0
1788998840.284509060,10.2,0
1788998840.348146130,9.6,0
1788998840.411304773,9.4,0
1788998840.474188133,9.5,0
1788998840.537075970,32.5,0
1788998840.623017736,10.5,0
1788998840.687710179,10.4,0
1788998840.751456172,10.1,0
1788998840.815439462,9.8,0
1788998840.878635491,10.4,0
1788998840.942193433,11.3,0
1788998841.007352255,12.5,0
1788998841.073875494,10.1,0
1788998841.138163590,9.9,0
1788998841.201920380,10.5,0
1788998841.266045682,10.0,0
1788998841.329374230,23.3,0
1788998841.406382160,10.4,0
1788998841.470600882,9.0,0
1788998841.532888459,10.6,0
1788998841.597289755,11.4,0
1788998841.662318182,10.6,0
1788998841.726664566,11.7,0
1788998841.792108095,10.5,0
1788998841.855905496,10.2,0
1788998841.919608926,11.8,0
1788998841.985659054,11.0,0
1788998842.050482433,10.5,0
1788998842.114350320,28.6,0
1788998842.196745086,11.0,0
1788998842.260863298,10.5,0
1788998842.324723363,10.9,0
1788998842.388825821,11.9,0
1788998842.454579695,10.6,0
1788998842.518459970,9.6,0
1788998842.581617671,9.6,0
1788998842.644381272,10.4,0
1788998842.708358613,10.2,0
1788998842.771939789,9.3,0
1788998842.834823800,11.4,0
1788998842.899997505,11.1,0
1788998842.964905430,10.5,0
1788998843.029155570,12.8,0
1788998843.095558708,10.1,0
1788998843.159246063,12.3,0
1788998843.225461790,10.7,0
1788998843.289873682,10.7,0
1788998843.354187016,10.8,0
1788998843.418550936,10.2,0
1788998843.482539363,12.7,0
1788998843.549050734,10.8,0
1788998843.613511008,10.1,0
1788998843.677140226,11.2,0
1788998843.742545117,11.2,0
1788998843.807799132,10.5,0
1788998843.872907728,10.4,0
1788998843.936802956,10.0,0
1788998844.000042670,9.4,0
1788998844.063509946,10.9,0
1788998844.128167776,9.8,0
1788998844.191713069,42.7,0
1788998844.288269179,9.0,0
1788998844.351225559,10.7,0
1788998844.415673024,10.1,0
1788998844.479864806,10.5,0
1788998844.544139151,10.4,0
1788998844.608283492,9.2,0
1788998844.671239231,10.5,0
1788998844.735462990,12.3,0
1788998844.801681812,10.4,0
1788998844.866163458,10.5,0
1788998844.930482901,9.9,0
1788998844.994363477,10.6,0
1788998845.058991923,9.8,0
1788998845.122471597,9.8,0
1788998845.185778362,9.9,0
1788998845.249438466,10.8,0
1788998845.313782256,10.1,0
1788998845.377478365,10.4,0
1788998845.441886370,15.1,0
1788998845.510816547,9.6,0
1788998845.574031935,10.5,0
1788998845.637713081,10.6,0
1788998845.701488178,10.3,0
1788998845.765419770,12.6,0
1788998845.831467945,9.7,0
1788998845.894486938,9.6,0
1788998845.958087223,12.5,0
1788998846.024066625,10.4,0
