epoch_s,prefix,latency_ms,exit
1788998839.761465362,20.0.0.0/24,12.3,0
1788998839.776555249,3001::/48,8.0,0
1788998840.038030067,20.0.0.0/24,8.2,0
1788998840.048967437,3001::/48,7.9,0
1788998840.310362205,20.0.0.0/24,8.2,0
1788998840.321933335,3001::/48,7.8,0
1788998840.583158899,20.0.0.0/24,11.4,0
1788998840.596725862,3001::/48,10.9,0
1788998840.861194800,20.0.0.0/24,10.9,0
1788998840.874691838,3001::/48,9.4,0
1788998841.138076159,20.0.0.0/24,11.7,0
1788998841.152484634,3001::/48,9.1,0
1788998841.415489195,20.0.0.0/24,9.9,0
1788998841.428404461,3001::/48,10.1,0
1788998841.692135341,20.0.0.0/24,11.3,0
1788998841.705810987,3001::/48,10.8,0
1788998841.969752744,20.0.0.0/24,11.3,0
1788998841.984663642,3001::/48,14.2,0
1788998842.252294079,20.0.0.0/24,14.2,0
1788998842.269432827,3001::/48,12.4,0
1788998842.535365899,20.0.0.0/24,12.9,0
1788998842.550571219,3001::/48,15.0,0
1788998842.819619542,20.0.0.0/24,12.2,0
1788998842.834573255,3001::/48,14.8,0
1788998843.103184682,20.0.0.0/24,15.7,0
1788998843.121854817,3001::/48,16.0,0
1788998843.391384522,20.0.0.0/24,15.5,0
1788998843.409562789,3001::/48,12.6,0
1788998843.676245855,20.0.0.0/24,15.6,0
1788998843.694755600,3001::/48,59.0,0
1788998844.007159441,20.0.0.0/24,15.9,0
1788998844.025817749,3001::/48,15.0,0
1788998844.294395576,20.0.0.0/24,13.8,0
1788998844.311051310,3001::/48,17.3,0
1788998844.582244468,20.0.0.0/24,16.5,0
1788998844.601479530,3001::/48,14.9,0
1788998844.869932029,20.0.0.0/24,15.7,0
1788998844.888351448,3001::/48,14.8,0
1788998845.157286850,20.0.0.0/24,13.4,0
1788998845.173592019,3001::/48,15.2,0
1788998845.442252239,20.0.0.0/24,13.5,0
1788998845.458747873,3001::/48,17.5,0
1788998845.730003906,20.0.0.0/24,16.5,0
1788998845.748634281,3001::/48,17.7,0
1788998846.019520779,20.0.0.0/24,14.2,0
1788998846.036852246,3001::/48,14.9,0
1788998846.305182231,20.0.0.0/24,12.8,0
1788998846.320771846,3001::/48,12.4,0
1788998846.586576524,20.0.0.0/24,13.7,0
1788998846.602660701,3001::/48,14.0,0
1788998846.870198298,20.0.0.0/24,13.2,0
1788998846.885997308,3001::/48,15.8,0
1788998847.156557636,20.0.0.0/24,13.2,0
1788998847.172158018,3001::/48,14.2,0
1788998847.439566430,20.0.0.0/24,13.0,0
1788998847.455165810,3001::/48,14.2,0
1788998847.723305388,20.0.0.0/24,13.3,0
1788998847.739722645,3001::/48,13.1,0
1788998848.006257377,20.0.0.0/24,13.2,0
1788998848.022333162,3001::/48,13.8,0
1788998848.289510126,20.0.0.0/24,13.1,0
1788998848.305047133,3001::/48,14.4,0
1788998848.572759661,20.0.0.0/24,12.4,0
1788998848.587778180,3001::/48,13.9,0
1788998848.855466592,20.0.0.0/24,13.0,0
1788998848.871024800,3001::/48,12.7,0
1788998849.137187434,20.0.0.0/24,13.7,0
1788998849.153773383,3001::/48,13.8,0
1788998849.421566241,20.0.0.0/24,13.0,0
1788998849.437069528,3001::/48,12.8,0
1788998849.703550628,20.0.0.0/24,15.9,0
1788998849.721845060,3001::/48,13.5,0
1788998849.988571989,20.0.0.0/24,13.3,0
1788998850.004810057,3001::/48,13.7,0
1788998850.272446800,20.0.0.0/24,12.7,0
1788998850.288015494,3001::/48,15.1,0
1788998850.556390735,20.0.0.0/24,13.2,0
1788998850.572542814,3001::/48,12.9,0
1788998850.838889843,20.0.0.0/24,13.4,0
1788998850.854846900,3001::/48,14.9,0
1788998851.123261700,20.0.0.0/24,13.3,0
1788998851.138996944,3001::/48,13.4,0
1788998851.406094998,20.0.0.0/24,12.9,0
1788998851.421423673,3001::/48,12.3,0
1788998851.687033547,20.0.0.0/24,14.8,0
1788998851.704373076,3001::/48,12.5,0
1788998851.970346595,20.0.0.0/24,15.2,0
1788998851.988279895,3001::/48,14.3,0
1788998852.256577157,20.0.0.0/24,13.0,0
1788998852.271944019,3001::/48,15.8,0
1788998852.541074561,20.0.0.0/24,13.1,0
1788998852.556767231,3001::/48,13.6,0
1788998852.823705116,20.0.0.0/24,13.8,0
1788998852.839801792,3001::/48,12.9,0
1788998853.106028900,20.0.0.0/24,15.1,0
1788998853.123893707,3001::/48,12.4,0
1788998853.390347576,20.0.0.0/24,12.9,0
1788998853.406313235,3001::/48,13.7,0
1788998853.673354735,20.0.0.0/24,12.6,0
1788998853.688508156,3001::/48,15.9,0
1788998853.957610736,20.0.0.0/24,12.4,0
1788998853.972349406,3001::/48,12.4,0
1788998854.238605086,20.0.0.0/24,13.2,0
1788998854.254219129,3001::/48,13.8,0
1788998854.521577803,20.0.0.0/24,14.5,0
1788998854.538664414,3001::/48,13.4,0
1788998854.806010650,20.0.0.0/24,14.4,0
1788998854.822870359,3001::/48,15.1,0
1788998855.091610485,20.0.0.0/24,13.2,0
1788998855.107816765,3001::/48,12.7,0
1788998855.374058204,20.0.0.0/24,13.4,0
1788998855.390028821,3001::/48,13.5,0
1788998855.657612523,20.0.0.0/24,13.3,0
1788998855.673528948,3001::/48,15.2,0
1788998855.942314412,20.0.0.0/24,14.3,0
1788998855.959766120,3001::/48,13.7,0
1788998856.226949200,20.0.0.0/24,12.9,0
1788998856.242829221,3001::/48,12.4,0
1788998856.508781316,20.0.0.0/24,12.9,0
1788998856.524284512,3001::/48,15.3,0
1788998856.792938868,20.0.0.0/24,12.2,0
1788998856.807625560,3001::/48,12.4,0
1788998857.073170694,20.0.0.0/24,14.6,0
1788998857.090136193,3001::/48,15.7,0
1788998857.359881475,20.0.0.0/24,12.8,0
1788998857.375378181,3001::/48,12.5,0
1788998857.641248583,20.0.0.0/24,14.7,0
1788998857.658607832,3001::/48,12.9,0
1788998857.925195529,20.0.0.0/24,12.5,0
1788998857.940140778,3001::/48,17.0,0
1788998858.210690716,20.0.0.0/24,12.6,0
1788998858.225973081,3001::/48,13.6,0
1788998858.493040047,20.0.0.0/24,12.5,0
1788998858.508272396,3001::/48,15.9,0
1788998858.777640943,20.0.0.0/24,12.6,0
1788998858.793159161,3001::/48,14.2,0
1788998859.060764224,20.0.0.0/24,12.0,0
1788998859.075216784,3001::/48,14.0,0
1788998859.342406504,20.0.0.0/24,13.4,0
1788998859.358316059,3001::/48,13.1,0
1788998859.625076284,20.0.0.0/24,14.5,0
1788998859.642116905,3001::/48,12.7,0
1788998859.908247176,20.0.0.0/24,13.7,0
1788998859.924502579,3001::/48,14.8,0
1788998860.193346729,20.0.0.0/24,12.8,0
1788998860.208745618,3001::/48,12.5,0
1788998860.474648808,20.0.0.0/24,14.2,0
1788998860.491827276,3001::/48,14.8,0
1788998860.760104445,20.0.0.0/24,12.8,0
1788998860.775419990,3001::/48,15.5,0
1788998861.044458300,20.0.0.0/24,12.9,0
1788998861.059928757,3001::/48,13.9,0
1788998861.327412667,20.0.0.0/24,12.8,0
1788998861.343172057,3001::/48,13.3,0
1788998861.609830929,20.0.0.0/24,14.5,0
1788998861.626797539,3001::/48,16.0,0
1788998861.896391563,20.0.0.0/24,13.5,0
1788998861.912441418,3001::/48,14.3,0
1788998862.180179398,20.0.0.0/24,13.0,0
1788998862.195737747,3001::/48,12.6,0
1788998862.461942969,20.0.0.0/24,13.2,0
1788998862.477484292,3001::/48,17.1,0
1788998862.748479896,20.0.0.0/24,12.6,0
1788998862.763683743,3001::/48,12.5,0
1788998863.029601053,20.0.0.0/24,13.2,0
1788998863.045265721,3001::/48,12.7,0
1788998863.311488269,20.0.0.0/24,15.3,0
1788998863.329218423,3001::/48,14.9,0
1788998863.597097304,20.0.0.0/24,12.5,0
1788998863.612066690,3001::/48,12.6,0
1788998863.878238301,20.0.0.0/24,13.5,0
1788998863.894244050,3001::/48,17.1,0
