epoch_s,latency_ms,exit
1789000244.310911828,10.2,0
1789000244.374734779,8.7,0
1789000244.436597382,8.5,0
1789000244.498334187,8.7,0
1789000244.560372273,8.3,0
1789000244.621957441,10.0,0
1789000244.685262085,8.6,0
1789000244.747031629,8.3,0
1789000244.808570287,8.2,0
1789000244.870052169,9.5,0
1789000244.932982162,9.0,0
1789000244.995331104,8.8,0
1789000245.057647607,8.6,0
1789000245.119879985,9.0,0
1789000245.182319392,7.9,0
1789000245.243670168,9.0,0
1789000245.306125840,8.2,0
1789000245.367635284,8.4,0
1789000245.429420652,8.3,0
1789000245.491024177,8.6,0
1789000245.552899028,8.8,0
1789000245.615100088,8.3,0
1789000245.676830343,8.4,0
1789000245.738616091,8.4,0
1789000245.800218384,8.5,0
1789000245.862119044,8.3,0
1789000245.923673105,8.2,0
1789000245.984858263,7.7,0
1789000246.045796140,8.3,0
1789000246.107385805,8.3,0
1789000246.169068388,8.3,0
1789000246.230815348,8.3,0
1789000246.292719493,8.1,0
1789000246.354068076,8.3,0
1789000246.415782116,8.3,0
1789000246.477526502,8.2,0
1789000246.539093593,8.0,0
1789000246.600556917,8.7,0
1789000246.662471519,10.2,0
1789000246.726000539,9.2,0
1789000246.788360808,8.7,0
1789000246.850650181,8.3,0
1789000246.912462479,8.6,0
1789000246.974460044,8.9,0
1789000247.036955325,8.7,0
1789000247.098933702,8.1,0
1789000247.160480422,8.9,0
1789000247.222757236,8.3,0
1789000247.284303675,8.4,0
1789000247.345852468,8.8,0
1789000247.407889773,8.4,0
1789000247.469785786,9.1,0
1789000247.532033436,9.3,0
1789000247.594680936,8.9,0
1789000247.656945211,8.1,0
1789000247.718392111,8.8,0
1789000247.780565219,8.9,0
1789000247.842953741,8.5,0
1789000247.904745999,8.5,0
1789000247.966806949,8.7,0
1789000248.028940318,8.8,0
1789000248.091450872,8.3,0
1789000248.153055288,8.6,0
1789000248.214857361,8.2,0
1789000248.276517120,8.6,0
1789000248.338765291,9.1,0
1789000248.401229265,8.8,0
1789000248.463695783,8.5,0
1789000248.525422092,8.4,0
1789000248.587150624,8.6,0
1789000248.649035711,8.7,0
1789000248.711287898,8.5,0
1789000248.773038614,8.2,0
1789000248.834625734,9.1,0
1789000248.897037701,8.6,0
1789000248.958971370,8.3,0
1789000249.020536297,8.0,0
1789000249.082013573,8.5,0
1789000249.143976116,8.6,0
1789000249.205995924,8.0,0
1789000249.267459550,8.0,0
1789000249.328968122,8.4,0
1789000249.390677576,8.5,0
1789000249.452516624,9.2,0
1789000249.515147118,8.4,0
1789000249.576780888,7.9,0
1789000249.637939306,8.1,0
1789000249.699384503,8.5,0
1789000249.761238544,8.3,0
1789000249.822946545,8.3,0
1789000249.884932643,8.8,0
1789000249.947104610,8.8,0
1789000250.009257398,8.2,0
1789000250.070999791,8.3,0
1789000250.132593111,8.2,0
1789000250.194084067,8.6,0
1789000250.255873550,8.3,0
1789000250.317786379,8.8,0
1789000250.379931425,9.2,0
1789000250.442636010,8.3,0
1789000250.504335609,9.1,0
1789000250.566772433,8.5,0
1789000250.628569187,8.9,0
1789000250.690948715,8.9,0
1789000250.753321773,8.5,0
1789000250.815459659,8.3,0
1789000250.877139738,9.2,0
1789000250.939698285,8.3,0
1789000251.001171674,8.9,0
1789000251.063432534,8.4,0
1789000251.125365473,8.5,0
1789000251.186996919,8.7,0
1789000251.249141295,8.4,0
1789000251.310747163,8.4,0
1789000251.372462165,9.0,0
1789000251.434837978,8.7,0
1789000251.496934050,8.4,0
1789000251.558622443,8.4,0
1789000251.620531055,8.2,0
1789000251.681998445,8.9,0
1789000251.744225885,8.9,0
1789000251.806769189,9.1,0
1789000251.869397970,8.6,0
1789000251.931427674,8.9,0
1789000251.993684297,8.6,0
1789000252.055570015,8.2,0
1789000252.116932368,8.5,0
1789000252.178940259,8.5,0
1789000252.240699618,9.3,0
1789000252.303342240,8.4,0
1789000252.365291853,8.4,0
1789000252.427341657,8.8,0
1789000252.489755126,8.6,0
1789000252.551644629,8.2,0
1789000252.613378209,8.3,0
1789000252.675195614,9.0,0
1789000252.737722163,8.7,0
1789000252.799950724,9.3,0
1789000252.862421278,8.5,0
1789000252.924438173,8.4,0
1789000252.986278913,8.9,0
1789000253.048614875,8.2,0
1789000253.110109327,8.4,0
1789000253.172037348,8.6,0
1789000253.234096185,8.1,0
1789000253.295470046,8.2,0
1789000253.357033691,8.7,0
1789000253.419008342,8.2,0
1789000253.480535172,8.5,0
1789000253.542446558,8.4,0
1789000253.604109602,8.2,0
1789000253.665551815,9.9,0
1789000253.728983820,8.1,0
1789000253.790560525,8.8,0
1789000253.852750479,9.2,0
1789000253.915262615,9.1,0
1789000253.977788993,9.1,0
1789000254.040573888,9.0,0
1789000254.102754498,9.0,0
1789000254.165125714,9.3,0
1789000254.227865862,8.2,0
1789000254.289222897,8.6,0
1789000254.351138600,8.7,0
1789000254.413101654,8.4,0
1789000254.474853170,8.2,0
1789000254.536274913,8.4,0
1789000254.597949574,8.8,0
1789000254.660311155,8.2,0
1789000254.721920989,8.5,0
1789000254.783892065,8.8,0
1789000254.845995469,9.2,0
1789000254.908761215,8.9,0
1789000254.970960313,9.0,0
1789000255.033430987,8.7,0
1789000255.095341582,8.5,0
1789000255.157256183,9.2,0
1789000255.219731104,9.0,0
1789000255.282256611,8.6,0
1789000255.344476149,8.1,0
1789000255.406391080,8.6,0
1789000255.468624249,9.1,0
1789000255.531174202,8.4,0
1789000255.593012990,8.5,0
1789000255.655024395,8.8,0
1789000255.717201009,8.2,0
1789000255.778985636,8.3,0
1789000255.840917533,8.6,0
1789000255.903241988,8.4,0
1789000255.965195307,8.5,0
1789000256.027034154,8.3,0
1789000256.088662667,8.1,0
1789000256.150223187,8.8,0
1789000256.212404978,8.5,0
1789000256.274159479,8.3,0
1789000256.335747331,8.6,0
1789000256.397789032,33.2,0
1789000256.484465674,8.6,0
1789000256.546328928,8.7,0
1789000256.608777790,9.1,0
1789000256.671330056,8.5,0
1789000256.733563706,8.3,0
1789000256.795084426,8.5,0
1789000256.856968462,8.9,0
1789000256.919063203,8.2,0
1789000256.980681509,8.4,0
1789000257.042548559,8.3,0
1789000257.104229961,9.4,0
1789000257.167140444,9.0,0
1789000257.229556687,8.9,0
1789000257.291673712,8.0,0
1789000257.353100532,8.6,0
1789000257.415074291,8.6,0
1789000257.477182572,9.0,0
1789000257.539469832,8.9,0
1789000257.601931503,8.5,0
1789000257.663764732,9.0,0
1789000257.726237389,8.1,0
1789000257.787744299,8.8,0
1789000257.850068925,8.9,0
1789000257.912467651,8.9,0
1789000257.974479108,8.4,0
1789000258.036667900,8.5,0
1789000258.098694108,8.9,0
1789000258.161308468,8.7,0
1789000258.223462207,8.3,0
1789000258.285454414,8.6,0
1789000258.347583076,9.2,0
1789000258.410313660,8.6,0
1789000258.472361811,8.6,0
1789000258.534458886,8.3,0
1789000258.596531233,8.8,0
1789000258.658654477,8.7,0
1789000258.720793033,8.3,0
1789000258.782506423,8.4,0
1789000258.844468225,8.4,0
1789000258.906611128,8.2,0
1789000258.968397607,8.4,0
1789000259.030081672,8.3,0
1789000259.091977936,8.5,0
1789000259.154050153,8.3,0
1789000259.215600138,8.6,0
1789000259.277444633,8.5,0
1789000259.339303882,8.5,0
1789000259.401157862,8.4,0
1789000259.462783119,7.9,0
1789000259.524419563,8.2,0
1789000259.585967755,8.5,0
1789000259.647804940,8.1,0
1789000259.709261985,8.2,0
1789000259.770850958,8.0,0
1789000259.832332110,8.9,0
1789000259.894736715,9.2,0
1789000259.957307740,8.8,0
1789000260.019316001,8.4,0
1789000260.080984103,8.1,0
1789000260.142847858,8.3,0
1789000260.204636149,9.2,0
1789000260.267198942,8.6,0
1789000260.329063017,8.3,0
1789000260.390666191,8.9,0
1789000260.452937096,8.2,0
1789000260.514786390,8.6,0
1789000260.576789323,8.2,0
1789000260.638358877,8.9,0
1789000260.700537413,9.0,0
1789000260.762830652,8.4,0
1789000260.824929278,8.6,0
1789000260.887184009,8.6,0
1789000260.949169096,8.5,0
1789000261.011149836,8.5,0
1789000261.072870226,8.4,0
1789000261.134812168,8.7,0
1789000261.196997915,8.8,0
1789000261.259249832,8.5,0
1789000261.321051574,9.2,0
1789000261.383457611,11.0,0
1789000261.448291026,8.8,0
1789000261.510297706,8.8,0
1789000261.572490383,8.7,0
1789000261.635024633,8.9,0
1789000261.697357821,8.5,0
1789000261.759098982,8.8,0
1789000261.822048174,8.2,0
1789000261.883959069,8.3,0
1789000261.945667982,8.5,0
1789000262.007544656,9.1,0
1789000262.070097624,8.6,0
1789000262.132089711,8.4,0
1789000262.193959104,8.4,0
1789000262.255800135,8.4,0
1789000262.317670790,8.5,0
1789000262.379502286,8.5,0
1789000262.441436517,8.4,0
1789000262.503125219,8.7,0
1789000262.565452839,8.3,0
1789000262.626977476,8.7,0
1789000262.689099778,8.7,0
1789000262.750970433,8.5,0
1789000262.812790923,8.6,0
1789000262.874834337,8.3,0
1789000262.936461367,8.4,0
1789000262.998434296,8.8,0
1789000263.060902116,8.7,0
1789000263.123369936,8.3,0
1789000263.185107071,8.7,0
1789000263.247201491,8.2,0
1789000263.308739768,9.6,0
1789000263.371756851,8.1,0
1789000263.433239796,8.5,0
1789000263.495046445,8.0,0
1789000263.556480245,8.2,0
1789000263.618007636,9.6,0
1789000263.681107083,8.9,0
1789000263.743647331,8.6,0
1789000263.805518958,8.7,0
1789000263.867594410,8.5,0
1789000263.929501239,8.5,0
1789000263.991344934,8.8,0
1789000264.053602098,8.7,0
1789000264.115522969,8.8,0
1789000264.177798180,8.4,0
1789000264.239969776,9.6,0
1789000264.303092418,8.6,0
1789000264.365154660,9.0,0
1789000264.427447888,10.1,0
1789000264.490908957,8.6,0
1789000264.552754645,9.4,0
1789000264.615562224,8.6,0
1789000264.677402914,9.0,0
1789000264.739691125,8.6,0
1789000264.801658946,8.5,0
1789000264.863868348,8.7,0
1789000264.925900366,8.3,0
1789000264.987799423,8.9,0
1789000265.050348495,8.4,0
1789000265.112373612,8.6,0
1789000265.174263616,9.1,0
1789000265.236590845,8.9,0
1789000265.298843002,8.5,0
1789000265.360847498,8.7,0
1789000265.422889440,8.7,0
1789000265.485049548,8.6,0
1789000265.547041726,8.4,0
1789000265.608893482,8.5,0
1789000265.670883897,8.5,0
1789000265.732914792,8.7,0
1789000265.794866569,8.2,0
1789000265.856571265,9.1,0
1789000265.919116081,8.5,0
