epoch_s,prefix,latency_ms,exit
1789000244.310911848,20.0.0.0/24,8.9,0
1789000244.322436390,3001::/48,8.2,0
1789000244.584010209,20.0.0.0/24,8.3,0
1789000244.594743295,3001::/48,9.0,0
1789000244.857394439,20.0.0.0/24,18.8,0
1789000244.878903274,3001::/48,10.4,0
1789000245.142734977,20.0.0.0/24,10.0,0
1789000245.155251506,3001::/48,10.0,0
1789000245.418635318,20.0.0.0/24,9.4,0
1789000245.430539138,3001::/48,10.0,0
1789000245.693845243,20.0.0.0/24,9.6,0
1789000245.705694271,3001::/48,9.0,0
1789000245.968173738,20.0.0.0/24,9.6,0
1789000245.980220923,3001::/48,10.5,0
1789000246.244579526,20.0.0.0/24,8.9,0
1789000246.255819892,3001::/48,9.0,0
1789000246.518215863,20.0.0.0/24,9.0,0
1789000246.529688868,3001::/48,8.8,0
1789000246.792553211,20.0.0.0/24,9.5,0
1789000246.804784432,3001::/48,8.6,0
1789000247.066868056,20.0.0.0/24,9.4,0
1789000247.078915911,3001::/48,9.6,0
1789000247.342072963,20.0.0.0/24,9.0,0
1789000247.353766158,3001::/48,8.9,0
1789000247.615794558,20.0.0.0/24,9.7,0
1789000247.628026210,3001::/48,9.6,0
1789000247.890962992,20.0.0.0/24,9.4,0
1789000247.902730408,3001::/48,9.7,0
1789000248.165718256,20.0.0.0/24,9.4,0
1789000248.177612101,3001::/48,9.2,0
1789000248.440224527,20.0.0.0/24,9.4,0
1789000248.452242729,3001::/48,10.1,0
1789000248.715908203,20.0.0.0/24,9.0,0
1789000248.727652564,3001::/48,10.1,0
1789000248.991053321,20.0.0.0/24,8.9,0
1789000249.002652595,3001::/48,8.8,0
1789000249.264929768,20.0.0.0/24,9.9,0
1789000249.277386747,3001::/48,8.8,0
1789000249.539475178,20.0.0.0/24,9.2,0
1789000249.551125278,3001::/48,9.0,0
1789000249.813735140,20.0.0.0/24,9.3,0
1789000249.825548795,3001::/48,8.9,0
1789000250.088082413,20.0.0.0/24,9.5,0
1789000250.099955126,3001::/48,8.9,0
1789000250.362223957,20.0.0.0/24,8.9,0
1789000250.373535630,3001::/48,9.0,0
1789000250.636174075,20.0.0.0/24,8.7,0
1789000250.647317545,3001::/48,9.0,0
1789000250.909689691,20.0.0.0/24,9.1,0
1789000250.921201854,3001::/48,9.4,0
1789000251.184046648,20.0.0.0/24,9.8,0
1789000251.196640001,3001::/48,10.3,0
1789000251.460327949,20.0.0.0/24,9.3,0
1789000251.472022085,3001::/48,8.8,0
1789000251.734062994,20.0.0.0/24,9.1,0
1789000251.745586865,3001::/48,9.8,0
1789000252.008821303,20.0.0.0/24,9.8,0
1789000252.021107036,3001::/48,8.7,0
1789000252.283079843,20.0.0.0/24,9.2,0
1789000252.295071695,3001::/48,9.3,0
1789000252.557707776,20.0.0.0/24,9.7,0
1789000252.569963183,3001::/48,8.9,0
1789000252.832217702,20.0.0.0/24,9.2,0
1789000252.843941653,3001::/48,9.3,0
1789000253.106698315,20.0.0.0/24,9.3,0
1789000253.118580262,3001::/48,9.0,0
1789000253.380839889,20.0.0.0/24,9.1,0
1789000253.392499433,3001::/48,8.8,0
1789000253.654848464,20.0.0.0/24,9.2,0
1789000253.666404763,3001::/48,8.7,0
1789000253.928661316,20.0.0.0/24,10.0,0
1789000253.941087389,3001::/48,8.9,0
1789000254.203669910,20.0.0.0/24,9.1,0
1789000254.215274551,3001::/48,8.8,0
1789000254.477561719,20.0.0.0/24,9.4,0
1789000254.489694673,3001::/48,9.4,0
1789000254.752495040,20.0.0.0/24,9.1,0
1789000254.763917870,3001::/48,9.3,0
1789000255.026455513,20.0.0.0/24,9.3,0
1789000255.038215558,3001::/48,9.7,0
1789000255.301190256,20.0.0.0/24,9.6,0
1789000255.313370200,3001::/48,10.3,0
1789000255.576971839,20.0.0.0/24,9.2,0
1789000255.588514768,3001::/48,8.8,0
1789000255.850782257,20.0.0.0/24,9.2,0
1789000255.862510303,3001::/48,9.8,0
1789000256.125570069,20.0.0.0/24,9.4,0
1789000256.137375332,3001::/48,8.7,0
1789000256.399556421,20.0.0.0/24,31.6,0
1789000256.433846241,3001::/48,10.5,0
1789000256.697793327,20.0.0.0/24,9.7,0
1789000256.710060972,3001::/48,8.9,0
1789000256.972407760,20.0.0.0/24,9.1,0
1789000256.984007184,3001::/48,9.7,0
1789000257.247018767,20.0.0.0/24,9.8,0
1789000257.259411721,3001::/48,9.0,0
1789000257.522144567,20.0.0.0/24,9.0,0
1789000257.533685143,3001::/48,9.6,0
1789000257.796678569,20.0.0.0/24,9.4,0
1789000257.808525875,3001::/48,9.3,0
1789000258.071110479,20.0.0.0/24,9.3,0
1789000258.082943563,3001::/48,9.2,0
1789000258.346020134,20.0.0.0/24,10.2,0
1789000258.358876181,3001::/48,9.6,0
1789000258.622447303,20.0.0.0/24,9.6,0
1789000258.634674879,3001::/48,8.9,0
1789000258.897091260,20.0.0.0/24,9.4,0
1789000258.909152016,3001::/48,9.8,0
1789000259.172296589,20.0.0.0/24,9.9,0
1789000259.184753548,3001::/48,9.8,0
1789000259.448061937,20.0.0.0/24,9.7,0
1789000259.460361370,3001::/48,9.1,0
1789000259.722963900,20.0.0.0/24,9.0,0
1789000259.734644416,3001::/48,9.8,0
1789000259.998030080,20.0.0.0/24,9.4,0
1789000260.009822924,3001::/48,10.0,0
1789000260.273048158,20.0.0.0/24,9.1,0
1789000260.284987381,3001::/48,9.9,0
1789000260.548608538,20.0.0.0/24,9.2,0
1789000260.560312048,3001::/48,9.4,0
1789000260.823483702,20.0.0.0/24,9.7,0
1789000260.835778198,3001::/48,9.0,0
1789000261.097993648,20.0.0.0/24,9.0,0
1789000261.109664740,3001::/48,8.7,0
1789000261.371761723,20.0.0.0/24,9.4,0
1789000261.383782418,3001::/48,10.7,0
1789000261.647864936,20.0.0.0/24,9.1,0
1789000261.659524521,3001::/48,9.4,0
1789000261.922392489,20.0.0.0/24,9.4,0
1789000261.934278242,3001::/48,8.6,0
1789000262.196315045,20.0.0.0/24,10.2,0
1789000262.209025845,3001::/48,8.8,0
1789000262.471344800,20.0.0.0/24,9.7,0
1789000262.483742350,3001::/48,9.6,0
1789000262.746727454,20.0.0.0/24,9.0,0
1789000262.758500408,3001::/48,9.0,0
1789000263.021003700,20.0.0.0/24,9.6,0
1789000263.033237335,3001::/48,10.1,0
1789000263.296643540,20.0.0.0/24,9.1,0
1789000263.308302202,3001::/48,9.8,0
1789000263.571578663,20.0.0.0/24,9.0,0
1789000263.582909214,3001::/48,9.2,0
1789000263.845911123,20.0.0.0/24,9.4,0
1789000263.858011658,3001::/48,9.4,0
1789000264.121172015,20.0.0.0/24,9.6,0
1789000264.133256215,3001::/48,10.3,0
1789000264.397030562,20.0.0.0/24,9.5,0
1789000264.408947392,3001::/48,8.9,0
1789000264.671397764,20.0.0.0/24,10.4,0
1789000264.684116786,3001::/48,9.2,0
1789000264.946713078,20.0.0.0/24,9.0,0
1789000264.958222236,3001::/48,8.9,0
1789000265.220481462,20.0.0.0/24,9.4,0
1789000265.232475357,3001::/48,9.2,0
1789000265.495021393,20.0.0.0/24,9.2,0
1789000265.506858233,3001::/48,10.0,0
1789000265.770313031,20.0.0.0/24,9.3,0
1789000265.782156911,3001::/48,9.0,0
1789000266.044655816,20.0.0.0/24,9.4,0
1789000266.056701970,3001::/48,9.8,0
1789000266.320219902,20.0.0.0/24,9.0,0
1789000266.331594419,3001::/48,8.6,0
1789000266.593492143,20.0.0.0/24,9.2,0
1789000266.605155974,3001::/48,10.0,0
1789000266.868876300,20.0.0.0/24,9.4,0
1789000266.880676695,3001::/48,10.1,0
1789000267.144254176,20.0.0.0/24,10.1,0
1789000267.156756373,3001::/48,9.6,0
1789000267.419972563,20.0.0.0/24,8.9,0
1789000267.431269784,3001::/48,8.9,0
1789000267.693370443,20.0.0.0/24,9.5,0
1789000267.705684037,3001::/48,9.7,0
1789000267.969117663,20.0.0.0/24,9.9,0
1789000267.981752789,3001::/48,9.7,0
1789000268.244750402,20.0.0.0/24,9.5,0
1789000268.256591398,3001::/48,9.8,0
1789000268.519741469,20.0.0.0/24,9.2,0
1789000268.531388204,3001::/48,9.5,0
1789000268.794157184,20.0.0.0/24,9.0,0
1789000268.805587574,3001::/48,8.8,0
1789000269.067662544,20.0.0.0/24,9.8,0
1789000269.080055097,3001::/48,9.2,0
1789000269.342482034,20.0.0.0/24,9.7,0
1789000269.354700376,3001::/48,9.4,0
1789000269.617379140,20.0.0.0/24,8.9,0
1789000269.628737673,3001::/48,10.4,0
