epoch_s,latency_ms,exit
1789002295.817307024,14.5,0
1789002295.885460570,9.9,0
1789002295.948944479,9.8,0
1789002296.012212213,11.9,0
1789002296.077470210,11.6,0
1789002296.142351823,10.2,0
1789002296.205749712,9.7,0
1789002296.268669475,9.5,0
1789002296.331563028,9.4,0
1789002296.394434389,9.2,0
1789002296.456886290,9.8,0
1789002296.520220334,9.8,0
1789002296.583427998,10.0,0
1789002296.647124595,10.4,0
1789002296.711249954,11.3,0
1789002296.776125939,10.4,0
1789002296.839759591,9.9,0
1789002296.902762659,10.1,0
1789002296.966012707,11.5,0
1789002297.031340298,11.1,0
1789002297.095644335,9.5,0
1789002297.158458229,10.2,0
1789002297.222498742,9.9,0
1789002297.285905584,9.7,0
1789002297.349477685,11.0,0
1789002297.414408571,11.7,0
1789002297.479674390,9.9,0
1789002297.543333831,10.3,0
1789002297.607448865,10.8,0
1789002297.671726163,10.1,0
1789002297.735404943,11.6,0
1789002297.800591062,12.1,0
1789002297.866690209,11.9,0
1789002297.931832833,10.3,0
1789002297.995321829,11.8,0
1789002298.060344744,9.9,0
1789002298.124078887,10.1,0
1789002298.188431397,29.6,0
1789002298.272112844,10.3,0
1789002298.336439164,8.6,0
1789002298.398746570,12.6,0
1789002298.465146307,9.8,0
1789002298.528493701,10.2,0
1789002298.592163398,9.1,0
1789002298.655014337,11.7,0
1789002298.720353686,10.5,0
1789002298.784561750,9.5,0
1789002298.847817075,11.7,0
1789002298.913425367,12.5,0
1789002298.979564104,10.4,0
1789002299.043091837,9.1,0
1789002299.105453604,10.7,0
1789002299.170006294,9.7,0
1789002299.233098846,11.2,0
1789002299.297891736,10.5,0
1789002299.361912479,11.5,0
1789002299.426944396,10.4,0
1789002299.491157948,10.9,0
1789002299.555242887,10.8,0
1789002299.619435107,10.4,0
1789002299.683250422,11.0,0
1789002299.747860818,11.6,0
1789002299.812740017,10.6,0
1789002299.876418988,10.5,0
1789002299.940519540,10.8,0
1789002300.005240242,11.3,0
1789002300.069976988,10.3,0
1789002300.133766904,11.1,0
1789002300.198706154,10.5,0
1789002300.262608088,29.9,0
1789002300.346158719,10.2,0
1789002300.409965531,11.4,0
1789002300.474845962,9.8,0
1789002300.538274848,9.9,0
1789002300.601828591,10.7,0
1789002300.666060550,11.1,0
1789002300.730340130,10.1,0
1789002300.793956207,12.0,0
1789002300.859803397,15.2,0
1789002300.928406196,10.6,0
1789002300.993114249,10.7,0
1789002301.057535903,11.8,0
1789002301.122756183,10.2,0
1789002301.186351959,10.9,0
1789002301.251148554,10.8,0
1789002301.315276507,11.4,0
1789002301.380967553,10.4,0
1789002301.446007724,11.9,0
1789002301.511387243,9.7,0
1789002301.574384412,9.7,0
1789002301.638307248,9.6,0
1789002301.701488622,10.0,0
1789002301.765316857,11.4,0
1789002301.830523727,10.1,0
1789002301.894397239,10.4,0
1789002301.959582717,10.4,0
1789002302.023222098,17.6,0
1789002302.094551244,10.7,0
1789002302.158884395,10.1,0
1789002302.222473821,9.2,0
1789002302.285426563,9.3,0
1789002302.348122530,10.2,0
1789002302.411738998,9.1,0
1789002302.474644899,8.7,0
1789002302.536748409,9.2,0
1789002302.599179119,10.0,0
1789002302.662801745,9.2,0
1789002302.725469770,9.0,0
1789002302.787920260,9.1,0
1789002302.850829837,9.7,0
1789002302.914334457,9.0,0
1789002302.976729633,9.4,0
1789002303.039521374,9.6,0
1789002303.102909138,9.5,0
1789002303.165661851,10.8,0
1789002303.229701682,9.8,0
1789002303.292807554,10.0,0
1789002303.356703119,9.2,0
1789002303.419492096,9.9,0
1789002303.482791718,8.9,0
1789002303.545270620,9.3,0
1789002303.608134849,9.9,0
1789002303.671469564,9.2,0
1789002303.733855697,10.0,0
1789002303.798092654,9.2,0
1789002303.861479857,9.2,0
1789002303.924644967,8.9,0
1789002303.986878251,9.5,0
1789002304.049791344,9.5,0
1789002304.113281642,9.4,0
1789002304.176635466,9.6,0
1789002304.239672704,9.4,0
1789002304.303027910,8.8,0
1789002304.365717457,8.8,0
1789002304.427882599,9.2,0
1789002304.490956012,9.1,0
1789002304.553480453,9.0,0
1789002304.615790602,8.8,0
1789002304.678057156,9.0,0
1789002304.740404771,8.8,0
1789002304.802499117,10.2,0
1789002304.866141723,13.0,0
1789002304.932513208,8.9,0
1789002304.995050979,8.9,0
1789002305.057338504,9.1,0
1789002305.120432378,9.5,0
1789002305.183607153,9.3,0
1789002305.246844351,9.5,0
1789002305.310790232,9.4,0
1789002305.374058276,8.9,0
1789002305.436771550,10.0,0
1789002305.500308127,10.2,0
1789002305.563896011,9.2,0
1789002305.626488663,10.2,0
1789002305.690640493,10.8,0
1789002305.755187143,10.0,0
1789002305.818523070,11.0,0
1789002305.882807277,10.1,0
1789002305.946179659,10.5,0
1789002306.009985629,11.7,0
1789002306.075523235,10.5,0
1789002306.139526231,9.1,0
1789002306.202148238,9.4,0
1789002306.265295462,10.5,0
1789002306.329388993,10.5,0
1789002306.393127783,9.9,0
1789002306.456467686,9.6,0
1789002306.519705836,8.9,0
1789002306.581859030,8.9,0
1789002306.644054427,10.4,0
1789002306.708333948,10.4,0
1789002306.772084966,9.3,0
1789002306.834853552,11.2,0
1789002306.899704189,9.1,0
1789002306.962583080,9.7,0
1789002307.025800189,8.8,0
1789002307.088249046,8.7,0
1789002307.150410893,8.8,0
1789002307.212756775,9.4,0
1789002307.275548897,9.0,0
1789002307.338680657,9.6,0
1789002307.401656344,14.4,0
1789002307.469323612,9.4,0
1789002307.532131617,9.5,0
1789002307.595416046,9.8,0
1789002307.658686524,9.6,0
1789002307.721731485,8.7,0
1789002307.783794394,9.3,0
1789002307.846704412,9.2,0
1789002307.909342232,9.3,0
1789002307.971815606,9.4,0
1789002308.034669189,9.3,0
1789002308.097434240,9.2,0
1789002308.160166943,9.2,0
1789002308.222668439,9.5,0
1789002308.285393480,9.1,0
1789002308.347787034,9.1,0
1789002308.410447488,11.1,0
1789002308.474957955,9.4,0
1789002308.537693692,9.0,0
1789002308.600037531,10.1,0
1789002308.663373217,9.6,0
1789002308.726146371,9.5,0
1789002308.789038762,9.5,0
1789002308.851828250,9.2,0
1789002308.914420261,9.9,0
1789002308.977597130,9.8,0
1789002309.040776301,9.9,0
1789002309.104262663,9.7,0
1789002309.167078710,10.0,0
1789002309.230166886,9.9,0
1789002309.293372667,10.0,0
1789002309.356477677,9.9,0
1789002309.419591441,9.6,0
1789002309.482486747,9.7,0
1789002309.545599489,9.9,0
