epoch_s,prefix,latency_ms,exit
1789002295.817639833,20.0.0.0/24,13.5,0
1789002295.833763957,3001::/48,7.7,0
1789002296.095050025,20.0.0.0/24,8.1,0
1789002296.105680827,3001::/48,7.7,0
1789002296.366918963,20.0.0.0/24,7.8,0
1789002296.377221012,3001::/48,7.5,0
1789002296.638615113,20.0.0.0/24,8.3,0
1789002296.649499905,3001::/48,11.8,0
1789002296.914509223,20.0.0.0/24,9.2,0
1789002296.926298831,3001::/48,11.0,0
1789002297.190724544,20.0.0.0/24,12.4,0
1789002297.205480708,3001::/48,9.0,0
1789002297.468565172,20.0.0.0/24,11.2,0
1789002297.482346334,3001::/48,9.4,0
1789002297.745198920,20.0.0.0/24,11.7,0
1789002297.759621694,3001::/48,11.0,0
1789002298.024221619,20.0.0.0/24,12.2,0
1789002298.038731504,3001::/48,11.3,0
1789002298.303494773,20.0.0.0/24,13.6,0
1789002298.319826158,3001::/48,14.8,0
1789002298.588626497,20.0.0.0/24,12.1,0
1789002298.603290102,3001::/48,10.8,0
1789002298.868601112,20.0.0.0/24,11.2,0
1789002298.882278169,3001::/48,12.4,0
1789002299.148627716,20.0.0.0/24,13.3,0
1789002299.164833362,3001::/48,11.4,0
1789002299.429816300,20.0.0.0/24,13.9,0
1789002299.446419172,3001::/48,12.2,0
1789002299.711827728,20.0.0.0/24,12.4,0
1789002299.726585595,3001::/48,11.1,0
1789002299.991649374,20.0.0.0/24,12.6,0
1789002300.007052648,3001::/48,15.0,0
1789002300.275576363,20.0.0.0/24,24.2,0
1789002300.302315855,3001::/48,15.0,0
1789002300.570655214,20.0.0.0/24,15.0,0
1789002300.588187428,3001::/48,16.1,0
1789002300.858477349,20.0.0.0/24,15.6,0
1789002300.876946548,3001::/48,13.4,0
1789002301.143836304,20.0.0.0/24,18.3,0
1789002301.164688744,3001::/48,17.8,0
1789002301.435907627,20.0.0.0/24,16.9,0
1789002301.455955712,3001::/48,13.2,0
1789002301.722655343,20.0.0.0/24,15.8,0
1789002301.740832023,3001::/48,12.4,0
1789002302.006368191,20.0.0.0/24,16.7,0
1789002302.026433882,3001::/48,13.4,0
1789002302.293539541,20.0.0.0/24,13.2,0
1789002302.309436705,3001::/48,15.6,0
1789002302.579109442,20.0.0.0/24,13.7,0
1789002302.595226245,3001::/48,13.4,0
1789002302.861939797,20.0.0.0/24,14.5,0
1789002302.879105612,3001::/48,13.4,0
1789002303.145765063,20.0.0.0/24,12.1,0
1789002303.160311743,3001::/48,15.2,0
1789002303.429469778,20.0.0.0/24,12.2,0
1789002303.444621555,3001::/48,15.6,0
1789002303.714833630,20.0.0.0/24,13.1,0
1789002303.730373438,3001::/48,12.5,0
1789002303.997057306,20.0.0.0/24,13.4,0
1789002304.012804164,3001::/48,14.0,0
1789002304.280357205,20.0.0.0/24,13.5,0
1789002304.296606196,3001::/48,13.4,0
1789002304.564078986,20.0.0.0/24,13.3,0
1789002304.580048137,3001::/48,15.1,0
1789002304.848799794,20.0.0.0/24,12.5,0
1789002304.863738081,3001::/48,14.5,0
1789002305.131590750,20.0.0.0/24,12.0,0
1789002305.146129688,3001::/48,14.2,0
1789002305.413669178,20.0.0.0/24,14.0,0
1789002305.430133301,3001::/48,15.4,0
1789002305.699338538,20.0.0.0/24,13.5,0
1789002305.715556542,3001::/48,16.3,0
1789002305.985267867,20.0.0.0/24,12.8,0
1789002306.000559543,3001::/48,13.0,0
1789002306.267983751,20.0.0.0/24,12.9,0
1789002306.283432993,3001::/48,12.2,0
1789002306.548851224,20.0.0.0/24,13.8,0
1789002306.565108507,3001::/48,13.0,0
1789002306.831720918,20.0.0.0/24,13.4,0
1789002306.847908747,3001::/48,12.7,0
1789002307.114318965,20.0.0.0/24,14.5,0
1789002307.131287754,3001::/48,15.7,0
1789002307.401187992,20.0.0.0/24,13.0,0
1789002307.417284495,3001::/48,14.4,0
1789002307.685502862,20.0.0.0/24,13.4,0
1789002307.701329049,3001::/48,12.5,0
1789002307.967317465,20.0.0.0/24,12.9,0
1789002307.982739787,3001::/48,12.7,0
1789002308.248774832,20.0.0.0/24,12.9,0
1789002308.264018907,3001::/48,12.6,0
1789002308.529995655,20.0.0.0/24,13.3,0
1789002308.545731547,3001::/48,14.0,0
