epoch_s,total_rss_kib,pids
1789002295,72200,1
1789002300,467364,1
1789002305,465512,1
1789002310,456404,1
1789002315,456500,1
1789002320,455688,1
1789002325,455416,1
1789002330,454904,1
1789002335,533156,1
1789002340,503256,1
1789002345,475716,1
1789002350,478552,1
1789002355,474836,1
1789002361,650576,1
1789002366,493640,1
1789002371,471464,1
1789002376,473088,1
1789002381,471880,1
1789002386,513692,1
1789002391,483432,1
1789002396,478152,1
1789002401,478560,1
1789002406,496156,1
1789002411,525004,1
1789002416,476676,1
1789002421,474076,1
1789002426,474052,1
