workload,remote_asn_shape,routes,peers,median_ci95_low_ns,median_ns,median_ci95_high_ns
first_advertise,homogeneous_remote_asn,64,8,77088.53738839286,77151.05196496213,77612.30276442308
first_advertise,distinct_remote_asns,64,8,148700.26393939395,148784.5370588235,149186.39250000002
first_advertise,homogeneous_remote_asn,64,64,383615.1657894737,384490.43694444443,385554.14285714284
first_advertise,distinct_remote_asns,64,64,1032492.9588675213,1033448.9583333333,1034177.6857142857
first_advertise,homogeneous_remote_asn,64,256,1431381.6153846155,1433251.6011904762,1435012.0969696972
first_advertise,distinct_remote_asns,64,256,4018128.7302631577,4031301.9416666664,4041362.9107142854
policy_transition,homogeneous_remote_asn,4096,64,3400109.291666667,3455115.8,3544384.599206349
policy_transition,distinct_remote_asns,4096,64,48313169.5,48639297.5,48751987.75
policy_transition,homogeneous_remote_asn,4096,700,7315153.817460317,7442742.8,7632186.5
policy_transition,distinct_remote_asns,4096,700,507650232.5,508388563.0,509878505.0
