workload,remote_asn_shape,routes,peers,median_ci95_low_ns,median_ns,median_ci95_high_ns,mean_change_ci95_low_percent,mean_change_percent,mean_change_ci95_high_percent
first_advertise,homogeneous_remote_asn,64,8,76175.8046875,76206.5537109375,76387.18046875,-2.932274253759406,-2.1003421117730015,-1.3827052607652992
first_advertise,distinct_remote_asns,64,8,77596.57001466275,77699.58986175116,79497.35483870968,-48.47769506722969,-47.33807353321899,-46.187056420229565
first_advertise,homogeneous_remote_asn,64,64,377306.65656565654,378012.1984848485,379986.8877940242,-1.892560081475942,-1.2054700900883564,-0.4710381024421354
first_advertise,distinct_remote_asns,64,64,375453.7454545455,376546.85353535356,378393.8276016746,-63.67307916651637,-63.35179519623639,-62.94653789568425
first_advertise,homogeneous_remote_asn,64,256,1425021.151348039,1431096.1749999998,1439917.5595238097,-0.6142137749454363,0.37948294294476437,1.4527815525874976
first_advertise,distinct_remote_asns,64,256,1409864.0648148148,1419057.738095238,1423812.4210526315,-65.31003823916418,-64.69879868098782,-63.99636229598853
policy_transition,homogeneous_remote_asn,4096,64,3424270.4583333335,3449455.8035714286,3536932.25,-0.716491176698966,1.0737787573268154,2.6651290768404615
policy_transition,distinct_remote_asns,4096,64,3410130.902777778,3464031.6294642854,3507014.59375,-93.1367493767829,-92.99520243707632,-92.86818290307546
policy_transition,homogeneous_remote_asn,4096,700,7248064.0,7530020.375,7657575.222222222,-4.337936356081017,-1.5991142478567366,1.0088358167838074
policy_transition,distinct_remote_asns,4096,700,7424480.375,7604288.952380952,7821188.0,-98.54433731801149,-98.51417069223662,-98.4865490377772
