scenario,run,sample,established_s,converged_s,completion_p50_s,completion_p95_s,completion_max_s,delivery_gap_p50_ms,delivery_gap_p95_ms,delivery_gap_max_ms,withdraw_p50_s,withdraw_p95_s,withdraw_max_s,reannounce_p50_s,reannounce_p95_s,reannounce_max_s,first_reannounce_p50_s,pre_open_retries,sessions_up,parse_errors,settled_rss_mib,peak_rss_mib
s2,A,reload1,105.7,347.8,206.357653,206.393973,206.399035,238.218,262.633,262.728,,,,,,,,,700,0,795.047,987.098
s2,A,reload2,105.7,347.8,204.234494,204.238458,204.238697,226.024,266.793,268.743,,,,,,,,,700,0,795.047,987.098
s2,A,reload3,105.7,347.8,201.056990,201.073612,201.085795,225.961,244.128,270.633,,,,,,,,,700,0,795.047,987.098
s2,A,reload4,105.7,347.8,200.847019,200.860757,200.867734,229.725,302.623,304.426,,,,,,,,,700,0,795.047,987.098
s2,B,reload1,94.4,330.1,202.013275,202.021472,202.025439,225.558,262.262,262.312,,,,,,,,,700,0,801.484,987.672
s2,B,reload2,94.4,330.1,203.136786,203.187147,203.187943,219.429,250.619,251.834,,,,,,,,,700,0,801.484,987.672
s2,B,reload3,94.4,330.1,201.924915,201.927419,201.930054,212.875,239.584,240.339,,,,,,,,,700,0,801.484,987.672
s2,B,reload4,94.4,330.1,201.566921,201.573303,201.582528,214.494,248.517,251.936,,,,,,,,,700,0,801.484,987.672
s3,A,round1,94.5,336.3,,,,,,,8.546471,8.548044,8.550937,17.404242,17.405472,17.405603,0.15,0,700,0,830.980,987.785
s3,A,round2,94.5,336.3,,,,,,,9.546286,9.549517,9.549666,17.364272,17.366086,17.366224,0.13,40,700,0,830.980,987.785
s3,A,round3,94.5,336.3,,,,,,,9.373855,9.376529,9.376670,17.381848,17.383527,17.383694,0.10,100,700,0,830.980,987.785
s3,B,round1,83.6,326.0,,,,,,,8.218638,8.221908,8.222054,17.624601,17.631705,17.635151,0.11,0,700,0,826.723,987.875
s3,B,round2,83.6,326.0,,,,,,,9.006145,9.009656,9.009799,17.818391,17.825829,17.825973,0.10,40,700,0,826.723,987.875
s3,B,round3,83.6,326.0,,,,,,,8.763636,8.767673,8.767828,17.643316,17.644595,17.711587,0.09,100,700,0,826.723,987.875
