epoch_s,total_rss_kib,pids
1785186676,61572,1
1785186681,463468,1
1785186686,432652,1
1785186691,407052,1
1785186696,407184,1
1785186701,407232,1
1785186706,407104,1
1785186711,407096,1
1785186716,457260,1
1785186721,432688,1
1785186726,418388,1
1785186731,418440,1
1785186736,522884,1
1785186741,479068,1
1785186746,420456,1
1785186751,420140,1
1785186756,420044,1
1785186761,500760,1
1785186766,435704,1
1785186771,421364,1
1785186776,419220,1
1785186781,591388,1
1785186786,469520,1
1785186791,422544,1
1785186796,419984,1
1785186801,419824,1
