epoch_s,total_rss_kib,pids
1786209419,71616,7
1786209424,72492,7
1786209429,72608,7
1786209434,72916,7
1786209439,73788,7
1786209444,73920,7
1786209449,74468,7
1786209454,76384,7
1786209459,77544,7
1786209464,78092,7
1786209469,79584,7
1786209474,80192,7
1786209479,81616,7
1786209484,83180,7
1786209489,84620,7
1786209494,476080,7
1786209499,658624,7
1786209504,761600,7
1786209509,902268,7
1786209514,929688,7
1786209519,931404,7
1786209524,932844,7
1786209529,934436,7
1786209534,936276,7
1786209539,937808,7
1786209544,939284,7
1786209550,940748,7
1786209555,942300,7
1786209560,943784,7
1786209565,945456,7
1786209570,947148,7
1786209575,948296,7
1786209580,949756,7
1786209585,951724,7
1786209590,952668,7
1786209595,954136,7
1786209600,955592,7
1786209605,957100,7
1786209610,958432,7
1786209615,960256,7
1786209620,961652,7
1786209625,962708,7
1786209630,964136,7
1786209635,965508,7
1786209640,966944,7
1786209645,968320,7
1786209650,970200,7
1786209655,971116,7
1786209660,972472,7
1786209665,973896,7
1786209670,975188,7
1786209675,976740,7
1786209680,977884,7
1786209685,979232,7
1786209690,980584,7
1786209695,981932,7
1786209700,983540,7
1786209706,984716,7
1786209711,985904,7
1786209716,987236,7
1786209721,988568,7
1786209726,989752,7
1786209731,990860,7
1786209736,992196,7
1786209741,993628,7
1786209746,994996,7
1786209751,996420,7
1786209756,997872,7
1786209761,902168,7
1786209766,841124,7
1786209771,840628,7
1786209776,840644,7
1786209781,841156,7
1786209786,840880,7
1786209791,840644,7
1786209796,845252,7
1786209801,834688,7
1786209806,828532,7
1786209811,832956,7
1786209816,834712,7
1786209821,851308,7
1786209826,852800,7
1786209831,836096,7
1786209836,836064,7
1786209841,834232,7
1786209846,834312,7
1786209851,831736,7
1786209856,833756,7
1786209861,835096,7
1786209867,852228,7
1786209872,832888,7
1786209877,832944,7
1786209882,837808,7
1786209887,831352,7
1786209892,829764,7
1786209897,830156,7
1786209902,831652,7
1786209907,851616,7
1786209912,852756,7
1786209917,832992,7
1786209922,832992,7
