phase,round,order,variant,elapsed_seconds,user_seconds,system_seconds,max_rss_kib,cargo_timing_sha256
clean,1,1,full,312.13,570.12,41.42,2947340,e4d144624e611d1b9631d294bc918daad4276f1c9244ab808e2dd05d8f2c8972
clean,1,2,no-history,306.31,545.22,40.48,2931632,e5f2a6101ba20fff59a02bff49bbc8b89963e448ff47110e505fda06aa3cad28
clean,1,3,control-plane,275.99,528.40,39.65,2478884,b010628d242042cbb1de3253c649b5024e7f0de17d59c360659982e0f90dc416
clean,2,1,no-history,305.19,544.08,40.69,2953740,ccc4d218beaa81627b65c8ff42f80fc9b272c9ea143f89e6c7c04c8602fc81bb
clean,2,2,control-plane,275.78,528.28,39.58,2478600,9f48c4328d69000284c3ae2480c3bc5ddc64e69ef9a65ba1ea4e09eaaf40ae62
clean,2,3,full,312.25,570.97,41.13,2965436,ca57b9efcb8f2620639aeb84dee8e37559f9dca5d0c8f72e056808d8e7ba071d
clean,3,1,control-plane,275.90,527.87,39.83,2479356,c0a986378a8b624bc74759ec6c078faa9964c0b31218516966ee0f7d0b9e74ef
clean,3,2,full,311.66,570.45,41.10,2967864,b7ef7275f3fbe454e4dad2036ae602b7e6f2e5002bdf7fabdcb0b28940970c4e
clean,3,3,no-history,305.45,543.85,40.63,2932108,1c03f074a7067a76fd7d38ecaee596d975308fc45bc1a3566f988e4f49459eef
warm,1,1,full,199.91,196.04,4.11,2947968,a114a3eb913919a1aeb8235abc3e216d98dddb397f0b89b9ca18d68f17e026c5
warm,1,2,no-history,201.30,197.40,4.12,2941752,373068a6d23243549a84c4828e332fd736fd7f2e5900cc6a4f71b5e78b8cb6b5
warm,1,3,control-plane,166.56,163.27,3.48,2478280,137f5e3fc0535a5f32d5a4222d201d45d8c92554846cbaa6f4d69659240f1d4a
warm,2,1,no-history,199.34,195.49,4.08,2949924,ebab7f71e8e1610a8eb6ff01d1d6c7647a015c646649bef3afb155af5d062995
warm,2,2,control-plane,166.87,163.62,3.46,2479560,9309fc496f23159f8760f344d3b348f1dd2be937a33af8b7733bf64ecbe6c856
warm,2,3,full,200.22,196.30,4.16,2948024,999b588962e4b4dc959d92a66a5a2e1c4b038e9df39643d6ce479a8326ca2a56
warm,3,1,control-plane,167.07,163.80,3.48,2478352,8f6ae9fe3b0a7139737419b7d02890239814ff1a39955e4ccf8d564b3728dcc0
warm,3,2,full,200.43,196.50,4.17,2963892,c238f44d383de13713614266bbcb32ba217da29cd2b2c48729166a0d9c1765f7
warm,3,3,no-history,199.82,195.96,4.08,2931844,2763a730dcd8e118f7bf3137c8c5c6ef48a033354ceb9ea0aed0ba18ef7953f1
