campaign	peers	base_median_mean_ns	head_median_mean_ns	mean_delta_percent	delta_stddev_percent	min_delta_percent	max_delta_percent
same_sha	1	31036.929374816	30983.064336216	-0.172870667	0.626991550	-1.276122721	0.460648475
same_sha	8	58662.351095794	58503.589066168	-0.265769003	0.762969509	-1.311561517	0.920469617
same_sha	64	285490.326994323	282808.652754656	-0.928092849	1.396422243	-2.860153197	0.781762960
same_sha	256	1080319.034310400	1065331.150537944	-1.375420079	1.573054812	-2.970539202	0.729971815
same_sha	1000	4276037.400652356	4218387.122285353	-1.332511967	1.819202243	-3.524287496	0.903862464
before_after	1	30938.328927711	28979.863217166	-6.323938479	1.139324988	-7.540714259	-4.594958971
before_after	8	58273.496441355	43467.030279314	-25.408671118	0.240364637	-25.611409742	-24.995654507
before_after	64	281769.541761890	164151.453929192	-41.742610571	0.163428496	-41.988823323	-41.580436535
before_after	256	1065657.466055279	595455.539579392	-44.123026339	0.181186768	-44.417836469	-43.845950857
before_after	1000	4206195.260551948	2399424.143559218	-42.954714750	0.304619283	-43.229760134	-42.363028882
