campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
same_sha	1	1	base-head	30949.456632403329422	30977.754122807018575	0.091431299553291	30593.138325991189049	31069.843651667717495	30871.790302144247107	31125.516666666666424
same_sha	1	2	head-base	30769.034137426900998	30608.047513089004497	-0.523209872688446	30515.781578947367962	31021.458771929825161	30410.215706806284288	30973.697207678884297
same_sha	1	3	base-head	30966.853461875547509	31109.501799961079087	0.460648474541170	30763.927475898333796	31138.416398870387638	31003.435376532397640	31236.813485113834759
same_sha	1	4	head-base	31233.472742146594101	30834.895300077565480	-1.276122720517037	30986.784093742207915	31479.419502617798571	30655.336823734731297	31007.950698080279835
same_sha	1	5	base-head	31163.043015587529226	31197.281049476529006	0.109867428132326	30907.896223021583864	31266.651079136689077	30887.810505319150252	31237.799900265956239
same_sha	1	6	head-base	31139.716259453169187	31170.906231884058798	0.100161389304310	30756.174177262528247	31784.861474694589560	30999.079826086956018	31289.102608695651725
same_sha	8	1	base-head	59399.682803468211205	58620.619422804535134	-1.311561516652049	59113.082947976879950	59830.495664739886706	58233.735269121811143	58851.049338999058818
same_sha	8	2	head-base	58609.667070851166500	58426.301418439717963	-0.312859058199022	58140.080955777462805	58924.262038357905112	57632.146099290781422	58696.527254305976385
same_sha	8	3	base-head	58224.328232893909444	58353.781614708233974	0.222335552411224	57859.912994350284862	58514.170500403553888	58002.539999999993597	58500.058363309355627
same_sha	8	4	head-base	58116.693564356435672	58651.640070921988809	0.920469616829056	57876.151520509192778	58589.360611571362824	58377.784544917260064	59183.671783181358478
same_sha	8	5	base-head	58669.554988662130199	58336.414326765188889	-0.567825445346093	58432.993544356519124	59129.360058309037413	58218.211206896550721	58943.613984674331732
same_sha	8	6	head-base	58954.179914529915550	58632.777543366144528	-0.545173169450808	58470.373377651158080	59353.982371794874780	58383.883737693387957	59196.945348603578168
same_sha	64	1	base-head	290380.038898999104276	282074.724933451623656	-2.860153196837423	289528.950636942696292	292017.698726114700548	280965.938276397529989	283470.696894409949891
same_sha	64	2	head-base	282494.935937499976717	280730.566220238106325	-0.624566848041563	281835.016666666662786	283785.671875000000000	280535.042343750013970	282065.565104166627862
same_sha	64	3	base-head	283264.915251572325360	285479.375436757516582	0.781762959672738	281648.266846361162607	284030.322327044035774	284004.796907756826840	288086.820305480679963
same_sha	64	4	head-base	283187.419426751555875	284416.344863731646910	0.433961875660915	282419.397027600847650	283809.560452684294432	283361.754716981144156	285473.621462264156435
same_sha	64	5	base-head	286728.117038216558285	282653.213303571450524	-1.421173401735831	286165.515013648779131	288440.630573248432484	282090.318749999976717	282943.159374999988358
same_sha	64	6	head-base	286886.535412899334915	281497.691770186298527	-1.878388483780591	285380.809098101221025	287613.075949367077556	280985.708074534137268	284488.279503105615731
same_sha	256	1	base-head	1098042.059523809468374	1067737.269864341011271	-2.759893338931918	1090622.743386243470013	1104088.598299319855869	1064677.470284237526357	1071292.565891472855583
same_sha	256	2	head-base	1071223.390697674360126	1061495.579734219238162	-0.908102926796583	1063995.577519379789010	1078409.547480619978160	1057849.330749353859574	1065307.195736434077844
