members	variant	phase	jemalloc_allocated_bytes	jemalloc_active_bytes	jemalloc_resident_bytes	jemalloc_mapped_bytes	vm_rss_kib	vm_size_kib	vm_hwm_kib
1	parent	baseline	332195920	333500416	477995008	500498432	372068	1447128	399384
1	parent	applied	342255584	343560192	486170624	508674048	379628	1447128	399384
1	parent	blocked	342341888	343691264	483045376	505548800	379708	1447128	399384
1	parent	recovered	332290792	333549568	431398912	453365760	332184	1610968	472260
1	candidate	baseline	332460816	333754368	446599168	469606400	353036	1442016	383748
1	candidate	applied	335622648	336928768	446738432	469745664	354036	1442016	383748
1	candidate	blocked	335846224	337149952	446738432	469745664	354128	1442016	383748
1	candidate	recovered	332659856	333946880	430919680	453402624	339388	1605856	469180
10	parent	baseline	332788896	335544320	480686080	503668736	376816	1466584	402928
10	parent	applied	432772392	435703808	583168000	606150656	476760	1466584	476760
10	parent	blocked	433011440	436023296	573444096	596426752	471448	1466584	471448
10	parent	recovered	333518432	336568320	461578240	483495936	362124	1650904	537856
10	candidate	baseline	332693320	335466496	478539776	501518336	371736	1465568	396224
10	candidate	applied	364193664	366911488	487178240	510152704	379056	1465568	396224
10	candidate	blocked	364704448	367632384	484065280	507039744	377704	1465568	396224
10	candidate	recovered	332961704	335892480	494522368	516423680	386056	1676000	537412
100	parent	baseline	342674896	346419200	491094016	513933312	383144	1468628	409832
100	parent	applied	1339697720	1343979520	1525403648	1544523776	1342188	2320596	1342188
100	parent	blocked	1340188608	1344806912	1508564992	1527668736	1326236	2320596	1341024
100	parent	recovered	343668216	347983872	473489408	492544000	367144	2402516	1341024
100	candidate	baseline	343020936	346742784	492158976	514465792	387148	1486560	412704
100	candidate	applied	658444744	662843392	813936640	835137536	659276	1822432	659276
100	candidate	blocked	658950544	663535616	802861056	824045568	656268	1822432	656268
100	candidate	recovered	343877144	348114944	448847872	468951040	359236	2011872	676484
