members	variant	phase	jemalloc_allocated_bytes	jemalloc_active_bytes	jemalloc_resident_bytes	jemalloc_mapped_bytes	vm_rss_kib	vm_size_kib	vm_hwm_kib
1	control	baseline	332601520	334082048	473341952	496893952	369404	1447080	396620
1	control	applied	332722936	334127104	464756736	488308736	363312	1447080	396620
1	control	blocked	332592088	333975552	464756736	488308736	363352	1447080	396620
1	control	recovered	332620456	333975552	423493632	447045632	335204	1447080	396620
1	candidate	baseline	332134280	333586432	465199104	488218624	361256	1469608	395088
1	candidate	applied	342137504	343560192	469876736	492896256	368664	1469608	395088
1	candidate	blocked	342191904	343511040	445595648	468615168	352464	1469608	395088
1	candidate	recovered	332084448	333430784	387858432	410353664	315428	1641640	445268
10	control	baseline	332363800	335134720	496885760	519860224	384036	1474732	409968
10	control	applied	332873856	335646720	493600768	516575232	381928	1474732	409968
10	control	blocked	332962776	335753216	490487808	513462272	376760	1474732	409968
10	control	recovered	333076464	335818752	478613504	501587968	372760	1474732	409968
10	candidate	baseline	332620288	335462400	494235648	517206016	382208	1467052	408236
10	candidate	applied	432327464	435068928	593825792	616796160	476744	1467052	476744
10	candidate	blocked	432607840	435429376	560136192	583106560	449380	1467052	471636
10	candidate	recovered	332888488	335912960	487100416	508985344	382936	1696428	582180
100	control	baseline	342803560	346357760	496005120	518852608	385516	1459880	409368
100	control	applied	343486152	347332608	484515840	507351040	380488	1459880	409368
100	control	blocked	343581304	347590656	484749312	507584512	376660	1459880	409368
100	control	recovered	344170696	348442624	478687232	501489664	377152	1462440	409368
100	candidate	baseline	342623488	346419200	478642176	501481472	372732	1472684	406160
100	candidate	applied	1339691632	1344053248	1505488896	1524600832	1332996	2327212	1332996
100	candidate	blocked	1340105408	1344679936	1433976832	1453064192	1284804	2327212	1325096
100	candidate	recovered	343465280	347590656	444166144	463171584	358336	2395308	1325096
