phase	order	label	commit	peers	routes_per_peer	base_total_routes	final_adj_rib_in_routes	steady_rss_kib	daemon_vmhwm_kib	tree_peak_kib	jemalloc_allocated_bytes	jemalloc_active_bytes	jemalloc_resident_bytes	jemalloc_mapped_bytes	sessions_up	update_groups	max_outbound_queue	exact_export_rejections
baseline	1	baseline-a-p10-r10k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	10	1000	10000	10000	46394	50452	50660	26659512	29696000	45129728	69386240	10	1	0	0
baseline	2	baseline-a-p10-r100k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	10	10000	100000	100000	118918	133892	133992	99491800	102719488	124702720	150884352	10	1	0	0
baseline	3	baseline-a-p100-r10k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	100	100	10000	10016	57250	62600	62912	41488880	46067712	61902848	85975040	100	1	0	0
baseline	4	baseline-a-p100-r100k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	100	1000	100000	100016	131576	149484	149260	120161840	125411328	141852672	167292928	100	1	0	0
baseline	5	baseline-b-p100-r100k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	100	1000	100000	100096	132102	151880	152000	121495248	126681088	142880768	168820736	100	1	0	0
baseline	6	baseline-b-p100-r10k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	100	100	10000	10016	56882	62684	62876	41669920	46129152	61734912	85803008	100	1	0	0
baseline	7	baseline-b-p10-r100k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	10	10000	100000	100016	119048	134432	134632	99384520	102481920	122769408	148434944	10	1	0	0
baseline	8	baseline-b-p10-r10k	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	10	1000	10000	10032	46462	50528	50900	26595440	29528064	44752896	61140992	10	1	0	0
candidate	1	abba-c1-control	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	100	100	10000	10016	57200	62528	62924	41190808	45760512	60846080	77049856	100	1	0	0
candidate	2	abba-n1-candidate	b40ec3e8b50774c0257166bf06812be84f47df8e	100	100	10000	10000	57140	62420	62652	35669640	39833600	54956032	71172096	100	1	0	0
candidate	3	abba-n2-candidate	b40ec3e8b50774c0257166bf06812be84f47df8e	100	100	10000	10000	56772	62236	62552	35021408	38948864	54648832	78733312	100	1	0	0
candidate	4	abba-c2-control	5c4fdc8f9cf64177af75b47f9afe77f23aca963c	100	100	10000	10016	57082	62620	62816	41237448	45711360	61386752	85463040	100	1	0	0
