attempt	pair	slot_in_pair	arm	phase	policy_definitions	statements_per_definition	total_statements	document_bytes	sha256	elapsed_ns	jemalloc_allocated_bytes	jemalloc_resident_bytes	vmrss_bytes	vmhwm_bytes
1	1	1	production	fixture-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	5588	1331644976	1489760256	1350766592	1350766592
1	1	1	production	production-complete	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2332335624	1674084240	2630828032	2620108800	2960101376
2	1	2	phased	fixture-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	5798	1331645008	1489141760	1350823936	1350823936
2	1	2	phased	graph-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1630999810	2496169976	2549911552	2478526464	2478526464
2	1	2	phased	rendered-with-graph	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2018429633	2840103496	2901360640	2826870784	2826870784
2	1	2	phased	graph-dropped	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2169134705	1675594440	2630770688	2619895808	2823421952
2	1	2	phased	header-appended	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2303881553	2018030728	2975752192	2962464768	2962464768
3	2	1	phased	fixture-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	6289	1331644880	1488711680	1350881280	1350881280
3	2	1	phased	graph-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1612177352	2496169976	2549911552	2478649344	2478649344
3	2	1	phased	rendered-with-graph	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1993500272	2840103496	2901360640	2827059200	2827059200
3	2	1	phased	graph-dropped	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2144207248	1675604872	2628599808	2617913344	2824073216
3	2	1	phased	header-appended	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2277205648	2018041160	2973581312	2960486400	2960486400
4	2	2	production	fixture-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	6980	1331644960	1491050496	1350778880	1350778880
4	2	2	production	production-complete	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2342367062	1674095504	2623041536	2613166080	2952568832
5	3	1	production	fixture-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	6550	1331645280	1490120704	1350684672	1350684672
5	3	1	production	production-complete	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2320593775	1674079568	2628681728	2617942016	2957279232
6	3	2	phased	fixture-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	5579	1331644880	1490001920	1350762496	1350762496
6	3	2	phased	graph-built	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1648292049	2496172920	2548428800	2477400064	2477400064
6	3	2	phased	rendered-with-graph	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2028775084	2840106440	2895675392	2819919872	2820071424
6	3	2	phased	graph-dropped	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2180651401	1675598984	2622992384	2612944896	2820071424
6	3	2	phased	header-appended	320	10000	3200000	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2317559737	2018035272	2967977984	2955517952	2955517952
