run	row	attempt	order	base_median_ns	head_median_ns	delta_pct
control	policy_chain_eval/1	1	base-first	40.094496647	45.362555910	13.139108116
control	policy_chain_eval/1	2	head-first	39.667969443	40.357792229	1.738991927
control	policy_chain_eval/1	3	base-first	40.431720026	39.825298240	-1.499866406
control	policy_chain_eval/1	4	head-first	54.263563380	47.090260953	-13.219372227
control	policy_chain_eval/1	5	base-first	53.231463522	40.640302447	-23.653606799
control	policy_chain_eval/1	6	head-first	40.743808979	40.660530570	-0.204395248
control	policy_chain_eval/8	1	base-first	120.842979437	120.609072288	-0.193562878
control	policy_chain_eval/8	2	head-first	120.055117429	118.874604684	-0.983308975
control	policy_chain_eval/8	3	base-first	114.357624772	118.085988473	3.260266824
control	policy_chain_eval/8	4	head-first	128.157255115	119.844783991	-6.486149471
control	policy_chain_eval/8	5	base-first	133.430937732	117.453381092	-11.974401823
control	policy_chain_eval/8	6	head-first	121.220144046	120.411495400	-0.667090979
control	policy_chain_eval/32	1	base-first	396.837086074	390.848876653	-1.508984324
control	policy_chain_eval/32	2	head-first	417.084920472	420.594142806	0.841368786
control	policy_chain_eval/32	3	base-first	366.644433330	402.140222563	9.681256827
control	policy_chain_eval/32	4	head-first	404.908237322	374.224438721	-7.577963542
control	policy_chain_eval/32	5	base-first	410.495774436	401.143174401	-2.278366945
control	policy_chain_eval/32	6	head-first	402.374091370	424.582947190	5.519454730
control	policy_chain_eval/early_deny	1	base-first	34.645292118	35.200412704	1.602297317
control	policy_chain_eval/early_deny	2	head-first	35.236585927	38.793594461	10.094645777
control	policy_chain_eval/early_deny	3	base-first	35.222051438	36.141212878	2.609619266
control	policy_chain_eval/early_deny	4	head-first	34.370820261	34.008116717	-1.055265895
control	policy_chain_eval/early_deny	5	base-first	35.044217284	34.282589501	-2.173333696
control	policy_chain_eval/early_deny	6	head-first	39.418396458	34.101364438	-13.488707045
isolated	policy_chain_eval/1	1	base-first	55.669840201	40.725327667	-26.844899286
isolated	policy_chain_eval/1	2	head-first	41.094395794	40.484750239	-1.483524806
isolated	policy_chain_eval/1	3	base-first	41.043509892	40.025832875	-2.479507771
isolated	policy_chain_eval/1	4	head-first	40.602883221	40.455187053	-0.363757835
isolated	policy_chain_eval/1	5	base-first	42.207835177	40.134665080	-4.911813384
isolated	policy_chain_eval/1	6	head-first	40.726226530	40.181282183	-1.338067366
isolated	policy_chain_eval/8	1	base-first	129.202131426	115.475968840	-10.623789588
isolated	policy_chain_eval/8	2	head-first	121.306558451	120.771700422	-0.440914354
isolated	policy_chain_eval/8	3	base-first	116.315134560	114.548099041	-1.519179361
isolated	policy_chain_eval/8	4	head-first	116.050374733	115.520527009	-0.456567009
isolated	policy_chain_eval/8	5	base-first	116.665513745	115.238090275	-1.223517922
isolated	policy_chain_eval/8	6	head-first	114.808625077	118.522686405	3.235002009
isolated	policy_chain_eval/32	1	base-first	384.447188146	420.814286582	9.459582371
isolated	policy_chain_eval/32	2	head-first	414.882504841	396.195736473	-4.504110959
isolated	policy_chain_eval/32	3	base-first	396.679227305	397.081036905	0.101293330
isolated	policy_chain_eval/32	4	head-first	391.420629382	368.191704286	-5.934517333
isolated	policy_chain_eval/32	5	base-first	397.976892920	367.199830853	-7.733379152
isolated	policy_chain_eval/32	6	head-first	368.666065717	395.384671127	7.247373136
isolated	policy_chain_eval/early_deny	1	base-first	39.261258825	34.515676358	-12.087188768
isolated	policy_chain_eval/early_deny	2	head-first	38.339237108	35.376395761	-7.727961145
isolated	policy_chain_eval/early_deny	3	base-first	39.477433054	34.075809974	-13.682812337
isolated	policy_chain_eval/early_deny	4	head-first	38.659353911	34.125006734	-11.728978158
isolated	policy_chain_eval/early_deny	5	base-first	42.678136681	35.101284742	-17.753474092
isolated	policy_chain_eval/early_deny	6	head-first	46.925909875	34.753145387	-25.940390971
