operation,peers,run,elapsed_us,allocation_calls,requested_bytes,live_delta_bytes,shared
resolve,1,1,440,10039,1926233,843209,true
resolve,1,2,398,10039,1926233,843209,true
resolve,1,3,377,10039,1926233,843209,true
resolve,10,1,1345,10228,6825987,863667,true
resolve,10,2,1396,10228,6825987,863667,true
resolve,10,3,1410,10228,6825987,863667,true
resolve,100,1,12356,42169,59969056,3591136,true
resolve,100,2,11190,42169,59969056,3591136,true
resolve,100,3,11142,42169,59969056,3591136,true
resolve,1000,1,125950,341545,588636680,29184520,true
resolve,1000,2,121903,341545,588636680,29184520,true
resolve,1000,3,119662,341545,588636680,29184520,true
