operation,peers,run,elapsed_us,allocation_calls,requested_bytes,live_delta_bytes,shared
resolve,1,1,448,10039,1926233,843209,true
resolve,1,2,400,10039,1926233,843209,true
resolve,1,3,371,10039,1926233,843209,true
resolve,10,1,6924,100381,19262331,8432091,false
resolve,10,2,4887,100381,19262331,8432091,false
resolve,10,3,3629,100381,19262331,8432091,false
resolve,100,1,72712,1003801,192623392,84320992,false
resolve,100,2,72225,1003801,192623392,84320992,false
resolve,100,3,70161,1003801,192623392,84320992,false
resolve,1000,1,736106,10038001,1926234568,843210568,false
resolve,1000,2,375421,10038001,1926234568,843210568,false
resolve,1000,3,375858,10038001,1926234568,843210568,false
