benchmark	attempt	side	median_ns	mean_ns	mean_ci_lower_ns	mean_ci_upper_ns
adj_rib_in_insert/10000	1	base	614098.499	614951.358	613657.246	616383.566
adj_rib_in_insert/10000	1	head	612246.641	613638.946	612159.754	615703.014
adj_rib_in_insert/10000	2	base	613443.805	614453.705	613099.378	616724.239
adj_rib_in_insert/10000	2	head	613331.347	613948.554	612822.771	615259.887
adj_rib_in_insert/10000	3	base	615437.807	616204.663	615172.835	617638.339
adj_rib_in_insert/10000	3	head	617018.230	617751.794	616468.853	619256.282
adj_rib_in_insert/10000	4	base	609630.586	611461.954	609709.481	614010.923
adj_rib_in_insert/10000	4	head	614729.690	615264.372	614437.366	616440.138
adj_rib_in_insert/10000	5	base	611081.906	612359.347	610850.898	614724.060
adj_rib_in_insert/10000	5	head	632479.008	634328.074	632190.084	637057.589
adj_rib_in_insert/10000	6	base	618153.115	618603.892	617848.883	619525.793
adj_rib_in_insert/10000	6	head	616923.347	618282.968	616525.227	620607.772
adj_rib_in_insert/100000	1	base	9053451.300	9050930.316	9026035.297	9073910.207
adj_rib_in_insert/100000	1	head	10991238.932	11020209.194	10970626.188	11081661.973
adj_rib_in_insert/100000	2	base	9108732.157	9142598.937	9113175.306	9178340.437
adj_rib_in_insert/100000	2	head	10793829.839	10795582.224	10773065.624	10817292.410
adj_rib_in_insert/100000	3	base	9148345.950	9147561.810	9122863.319	9171056.083
adj_rib_in_insert/100000	3	head	8822603.552	8822376.427	8805396.422	8838932.378
adj_rib_in_insert/100000	4	base	10775460.547	10801659.496	10761032.100	10860260.825
adj_rib_in_insert/100000	4	head	10943418.013	10904716.225	10834167.117	10960242.875
adj_rib_in_insert/100000	5	base	9059861.672	9066944.984	9042773.390	9091900.004
adj_rib_in_insert/100000	5	head	11365006.087	11397296.853	11333983.059	11469885.036
adj_rib_in_insert/100000	6	base	10804844.035	10797095.250	10758051.954	10831010.667
adj_rib_in_insert/100000	6	head	8946064.797	8977371.072	8925729.816	9054675.235
adj_rib_in_insert/500000	1	base	36885788.050	36894043.863	36846901.278	36942944.300
adj_rib_in_insert/500000	1	head	37573777.095	37610688.902	37513625.659	37741944.890
adj_rib_in_insert/500000	2	base	41998496.405	41999466.712	41947548.444	42050514.849
adj_rib_in_insert/500000	2	head	38312331.333	38288523.147	38214480.487	38348427.821
adj_rib_in_insert/500000	3	base	38532431.267	38455037.127	38259019.330	38581323.327
adj_rib_in_insert/500000	3	head	41699097.625	41731642.884	41659539.911	41814772.274
adj_rib_in_insert/500000	4	base	38112838.224	38102560.333	37994017.411	38230228.063
adj_rib_in_insert/500000	4	head	40136473.672	40127354.372	40073554.652	40187671.430
adj_rib_in_insert/500000	5	base	40425816.433	40460001.715	40381269.109	40554177.117
adj_rib_in_insert/500000	5	head	38401896.522	38379631.502	38290331.577	38466996.719
adj_rib_in_insert/500000	6	base	37347003.561	37370866.886	37275246.961	37469405.293
adj_rib_in_insert/500000	6	head	39220216.185	39180699.252	39094582.399	39253230.535
