benchmark	attempt	side	median_ns	mean_ns	mean_ci_lower_ns	mean_ci_upper_ns
bulk_initial_load/10000	1	base	1644294.152	1645563.553	1643593.662	1648429.536
bulk_initial_load/10000	1	head	1601967.403	1603377.527	1601537.274	1605460.179
bulk_initial_load/10000	2	base	1629063.324	1631459.698	1628610.759	1635489.862
bulk_initial_load/10000	2	head	1614771.157	1614900.472	1612713.236	1617269.354
bulk_initial_load/10000	3	base	1629402.114	1631438.221	1628154.270	1636676.785
bulk_initial_load/10000	3	head	1626868.649	1626833.971	1625358.912	1628292.297
bulk_initial_load/10000	4	base	1609938.489	1611050.103	1609490.954	1613010.918
bulk_initial_load/10000	4	head	1637550.627	1638911.796	1636906.939	1641191.345
bulk_initial_load/10000	5	base	1667237.208	1663626.897	1651914.614	1671781.528
bulk_initial_load/10000	5	head	1620058.291	1622247.872	1619059.277	1626434.620
bulk_initial_load/10000	6	base	1622603.959	1622499.888	1620598.691	1624437.885
bulk_initial_load/10000	6	head	1607758.439	1609863.449	1607671.088	1613156.373
bulk_initial_load/100000	1	base	27554540.528	27345994.640	26874064.320	27672938.375
bulk_initial_load/100000	1	head	27750037.384	27502335.222	26939456.245	27858019.600
bulk_initial_load/100000	2	base	27420904.775	27187301.096	26602008.124	27527149.819
bulk_initial_load/100000	2	head	24941248.996	24988874.790	24854765.291	25142753.152
bulk_initial_load/100000	3	base	25905217.143	26067442.305	25744586.086	26528992.751
bulk_initial_load/100000	3	head	25130394.396	25143915.684	25050532.102	25241119.169
bulk_initial_load/100000	4	base	27866997.887	27731948.087	27521531.012	27911298.999
bulk_initial_load/100000	4	head	28213884.404	28130346.251	27904402.993	28290172.983
bulk_initial_load/100000	5	base	26136014.021	26126804.461	26061258.548	26203449.199
bulk_initial_load/100000	5	head	26226316.625	26307324.478	26119502.245	26543171.665
bulk_initial_load/100000	6	base	24594644.308	24645239.276	24571766.279	24762587.966
bulk_initial_load/100000	6	head	24878245.069	25294779.929	24834816.335	25926078.522
rib_pipeline/1000	1	base	286014.926	286349.348	285722.629	287005.325
rib_pipeline/1000	1	head	287362.818	287614.294	287157.312	288132.075
rib_pipeline/1000	2	base	284451.013	284229.096	283735.508	284675.726
rib_pipeline/1000	2	head	286418.972	286632.002	285622.956	287651.132
rib_pipeline/1000	3	base	286548.472	286229.541	285564.472	286828.506
rib_pipeline/1000	3	head	284749.315	285005.864	284438.493	285630.597
rib_pipeline/1000	4	base	284879.565	284994.220	284298.520	285676.775
rib_pipeline/1000	4	head	284345.972	284416.773	283998.991	284831.638
rib_pipeline/1000	5	base	285327.165	285118.064	284550.973	285606.576
rib_pipeline/1000	5	head	285287.358	285626.040	284773.586	286796.322
rib_pipeline/1000	6	base	283741.163	283769.891	283354.070	284168.706
rib_pipeline/1000	6	head	285919.897	285932.453	285539.438	286344.638
rib_pipeline/10000	1	base	3492145.493	3492555.808	3484463.799	3499454.593
rib_pipeline/10000	1	head	3468009.443	3472147.917	3461186.900	3483150.302
rib_pipeline/10000	2	base	3414759.929	3417591.010	3399908.300	3441694.411
rib_pipeline/10000	2	head	3474727.690	3473128.558	3462228.160	3483605.177
rib_pipeline/10000	3	base	3476687.686	3480234.514	3473632.818	3488406.549
rib_pipeline/10000	3	head	3463197.890	3467353.995	3459024.275	3478382.299
rib_pipeline/10000	4	base	3479438.498	3481125.603	3474295.592	3488060.743
rib_pipeline/10000	4	head	3443014.735	3443977.666	3437624.262	3450856.794
rib_pipeline/10000	5	base	3383826.038	3384666.737	3377904.545	3391358.994
rib_pipeline/10000	5	head	3458616.837	3464611.075	3455010.781	3475189.755
rib_pipeline/10000	6	base	3418364.779	3418142.180	3415113.143	3421144.796
rib_pipeline/10000	6	head	3397856.663	3399611.651	3395665.349	3403944.974
rib_pipeline/50000	1	base	24873588.643	24859699.357	24815018.838	24898179.302
rib_pipeline/50000	1	head	24822502.500	24844268.565	24793619.896	24904447.030
rib_pipeline/50000	2	base	25545176.621	25550126.214	25498917.441	25599361.455
rib_pipeline/50000	2	head	25123475.003	25118786.791	25048544.157	25192758.024
rib_pipeline/50000	3	base	25277630.747	25287707.031	25242157.467	25347360.229
rib_pipeline/50000	3	head	24532824.318	24563091.292	24503992.633	24631840.883
rib_pipeline/50000	4	base	24384791.234	24419967.034	24380800.564	24467386.822
rib_pipeline/50000	4	head	25252819.750	25238509.437	25177309.451	25289558.068
rib_pipeline/50000	5	base	25739538.955	25777670.555	25724101.491	25840995.867
rib_pipeline/50000	5	head	25059014.608	25025958.569	24955646.987	25090845.910
rib_pipeline/50000	6	base	25175844.033	25154079.756	25079955.928	25216333.189
rib_pipeline/50000	6	head	25500909.608	25502313.460	25469743.853	25535251.963
