benchmark	attempt	side	median_ns	mean_ns	mean_ci_lower_ns	mean_ci_upper_ns
adj_rib_in_insert/10000	1	base	621221.828	622217.479	620739.944	623995.032
adj_rib_in_insert/10000	1	head	611899.451	612351.831	610520.959	614532.681
adj_rib_in_insert/10000	2	base	619735.328	620172.928	619366.065	621235.324
adj_rib_in_insert/10000	2	head	606730.568	607960.153	606260.240	610407.886
adj_rib_in_insert/10000	3	base	624634.139	624556.392	623774.821	625395.133
adj_rib_in_insert/10000	3	head	608643.113	609350.987	608543.782	610272.322
adj_rib_in_insert/10000	4	base	622904.123	623390.620	622659.331	624214.446
adj_rib_in_insert/10000	4	head	608395.084	608472.304	607767.858	609245.512
adj_rib_in_insert/10000	5	base	621039.029	621770.083	620806.382	623295.886
adj_rib_in_insert/10000	5	head	607061.996	608038.459	606767.184	609835.631
adj_rib_in_insert/10000	6	base	622919.504	623066.045	622135.577	624303.576
adj_rib_in_insert/10000	6	head	602047.172	603072.173	601878.141	604571.415
adj_rib_in_insert/100000	1	base	11592635.421	11573478.720	11515790.429	11620129.672
adj_rib_in_insert/100000	1	head	9319625.475	9335911.697	9310265.103	9364190.248
adj_rib_in_insert/100000	2	base	8928839.604	8920489.913	8897838.390	8942528.440
adj_rib_in_insert/100000	2	head	9221330.329	9231207.037	9208516.156	9256054.884
adj_rib_in_insert/100000	3	base	11614124.469	11606216.905	11572998.981	11632696.499
adj_rib_in_insert/100000	3	head	9149926.802	9151296.614	9136980.673	9165556.325
adj_rib_in_insert/100000	4	base	11110710.615	11088312.554	11048886.103	11124675.122
adj_rib_in_insert/100000	4	head	11299774.657	11299205.021	11248093.405	11347216.422
adj_rib_in_insert/100000	5	base	9405476.650	9366547.606	9287079.089	9419745.196
adj_rib_in_insert/100000	5	head	8904856.990	8950278.202	8895626.622	9044530.459
adj_rib_in_insert/100000	6	base	11632096.891	11660879.832	11612089.341	11719797.828
adj_rib_in_insert/100000	6	head	10864402.475	10857291.774	10832921.158	10882085.802
adj_rib_in_insert/500000	1	base	49507054.339	49596304.163	49313132.323	49921729.153
adj_rib_in_insert/500000	1	head	40174493.033	40170011.102	40082809.737	40260315.469
adj_rib_in_insert/500000	2	base	47824693.321	47790004.019	47620190.630	47948989.030
adj_rib_in_insert/500000	2	head	40094416.933	40114421.158	40059394.641	40168956.040
adj_rib_in_insert/500000	3	base	48269334.550	48209256.895	48006400.720	48397301.090
adj_rib_in_insert/500000	3	head	40284776.808	40302101.710	40163454.131	40418261.773
adj_rib_in_insert/500000	4	base	47714600.962	47703484.661	47476994.298	47953958.738
adj_rib_in_insert/500000	4	head	41469515.204	41443213.042	41275192.734	41578780.773
adj_rib_in_insert/500000	5	base	40762567.319	40660281.355	40477729.800	40787263.442
adj_rib_in_insert/500000	5	head	38713313.312	38733851.185	38632044.533	38866888.454
adj_rib_in_insert/500000	6	base	46225399.475	46162375.284	45925081.422	46348551.279
adj_rib_in_insert/500000	6	head	38935205.286	39010737.801	38881224.341	39186991.022
rib_pipeline/1000	1	base	287650.247	287748.499	287337.177	288200.078
rib_pipeline/1000	1	head	286847.803	286023.523	284852.340	287034.545
rib_pipeline/1000	2	base	287164.831	286916.036	286234.514	287582.654
rib_pipeline/1000	2	head	288536.047	288325.059	287694.559	288919.976
rib_pipeline/1000	3	base	287852.622	287940.037	287389.237	288642.756
rib_pipeline/1000	3	head	283679.833	283961.955	283422.013	284640.456
rib_pipeline/1000	4	base	288450.520	288161.548	287716.830	288573.802
rib_pipeline/1000	4	head	287090.607	287556.625	287072.267	288110.446
rib_pipeline/1000	5	base	288405.865	288395.163	288055.310	288737.570
rib_pipeline/1000	5	head	286384.020	286323.086	285765.177	286907.419
rib_pipeline/1000	6	base	289993.520	290033.786	288794.167	291120.473
rib_pipeline/1000	6	head	285066.410	284982.446	284737.371	285210.749
rib_pipeline/10000	1	base	3404256.640	3407061.284	3399668.035	3417793.507
rib_pipeline/10000	1	head	3459235.697	3461906.241	3456715.048	3467301.932
rib_pipeline/10000	2	base	3490894.854	3491103.035	3486169.500	3495818.236
rib_pipeline/10000	2	head	3430975.736	3435873.484	3429645.969	3443272.354
rib_pipeline/10000	3	base	3422897.943	3425053.846	3415411.280	3435372.566
rib_pipeline/10000	3	head	3411106.416	3419809.443	3403774.341	3445193.722
rib_pipeline/10000	4	base	3426662.904	3420799.984	3408984.875	3432008.104
rib_pipeline/10000	4	head	3458546.517	3456508.203	3444998.231	3470138.578
rib_pipeline/10000	5	base	3438626.433	3445587.831	3428438.578	3467552.868
rib_pipeline/10000	5	head	3478970.572	3479056.173	3469133.914	3489226.820
rib_pipeline/10000	6	base	3452106.799	3447215.934	3433744.291	3460531.382
rib_pipeline/10000	6	head	3392077.359	3396454.705	3388944.992	3404499.809
rib_pipeline/50000	1	base	25209339.104	25217886.379	25166430.940	25274212.005
rib_pipeline/50000	1	head	24855741.836	24846960.660	24753333.689	24919677.028
rib_pipeline/50000	2	base	25274192.300	25236972.252	25128372.323	25325172.722
rib_pipeline/50000	2	head	25309455.247	25315370.901	25256301.101	25379753.412
rib_pipeline/50000	3	base	24750699.295	24787877.688	24719931.965	24862864.232
rib_pipeline/50000	3	head	25685426.250	25595369.015	25372503.288	25728142.191
rib_pipeline/50000	4	base	25256853.656	25321498.548	25202197.650	25449616.848
rib_pipeline/50000	4	head	24752497.875	24803467.030	24723333.729	24913541.505
rib_pipeline/50000	5	base	24999603.562	25042937.103	24933305.675	25172780.665
rib_pipeline/50000	5	head	25784827.625	25771642.444	25697822.421	25848016.229
rib_pipeline/50000	6	base	25935522.642	25875484.840	25695908.202	26010331.616
rib_pipeline/50000	6	head	24890185.631	24835814.375	24712642.159	24932880.023
