benchmark	attempt	side	median_ns	mean_ns	mean_ci_lower_ns	mean_ci_upper_ns
adj_rib_in_insert/10000	1	base	638495.123	642737.012	638177.525	649453.036
adj_rib_in_insert/10000	1	head	611447.324	612136.305	610836.773	613931.909
adj_rib_in_insert/10000	2	base	635615.350	636854.398	635564.519	638364.935
adj_rib_in_insert/10000	2	head	616819.492	618463.361	616164.100	621453.138
adj_rib_in_insert/10000	3	base	635442.771	637206.092	635108.655	639871.468
adj_rib_in_insert/10000	3	head	609686.931	612154.503	609383.338	617028.000
adj_rib_in_insert/10000	4	base	635428.499	635950.245	635230.027	636966.372
adj_rib_in_insert/10000	4	head	640677.721	641242.862	640300.283	642326.559
adj_rib_in_insert/10000	5	base	635387.397	636661.517	635180.284	638628.587
adj_rib_in_insert/10000	5	head	616779.582	617482.877	616645.798	618403.954
adj_rib_in_insert/10000	6	base	635934.354	637350.936	635990.524	638826.143
adj_rib_in_insert/10000	6	head	615500.919	616770.118	615422.146	618618.515
adj_rib_in_insert/100000	1	base	9688774.119	9728262.325	9669431.342	9807818.981
adj_rib_in_insert/100000	1	head	8764649.453	8772315.544	8744489.843	8805421.772
adj_rib_in_insert/100000	2	base	12440967.277	12432052.338	12387839.937	12469961.376
adj_rib_in_insert/100000	2	head	9271011.863	9331053.874	9237575.187	9429635.373
adj_rib_in_insert/100000	3	base	9917641.324	9939593.484	9911065.906	9970103.168
adj_rib_in_insert/100000	3	head	11230451.830	11237577.322	11200437.320	11277269.019
adj_rib_in_insert/100000	4	base	12127511.308	12124095.178	12087170.391	12156242.690
adj_rib_in_insert/100000	4	head	11319965.036	11296769.627	11242544.373	11340633.413
adj_rib_in_insert/100000	5	base	12708732.415	12709587.756	12670175.510	12742288.323
adj_rib_in_insert/100000	5	head	10945956.743	10938155.891	10884601.252	10980887.504
adj_rib_in_insert/100000	6	base	10140808.768	10159242.929	10125464.147	10197716.485
adj_rib_in_insert/100000	6	head	9458481.390	9461536.685	9426910.985	9495986.341
adj_rib_in_insert/500000	1	base	48162609.683	48458542.887	48091589.179	49058944.266
adj_rib_in_insert/500000	1	head	37932596.792	37973675.837	37850417.306	38094628.735
adj_rib_in_insert/500000	2	base	41873728.651	41826638.204	41702973.311	41941031.795
adj_rib_in_insert/500000	2	head	40755951.500	40744799.442	40690198.358	40789997.296
adj_rib_in_insert/500000	3	base	42694294.840	42791394.571	42652995.806	42954607.306
adj_rib_in_insert/500000	3	head	38499817.533	38513142.577	38440496.744	38598356.820
adj_rib_in_insert/500000	4	base	42700966.077	42656758.562	42535287.245	42750361.602
adj_rib_in_insert/500000	4	head	40575914.628	40534942.948	40415052.209	40628105.316
adj_rib_in_insert/500000	5	base	48253588.258	48288025.070	48105484.847	48484248.055
adj_rib_in_insert/500000	5	head	41336820.657	41398829.314	41218679.715	41621252.241
adj_rib_in_insert/500000	6	base	51925217.569	51914979.196	51713672.807	52116725.183
adj_rib_in_insert/500000	6	head	40492523.471	40473340.208	40381082.290	40563001.834
bulk_initial_load/10000	1	base	1646581.010	1646406.607	1645064.812	1648003.899
bulk_initial_load/10000	1	head	1613401.804	1613304.375	1611790.696	1614723.046
bulk_initial_load/10000	2	base	1651962.431	1653059.918	1649138.594	1657889.264
bulk_initial_load/10000	2	head	1730389.655	1732620.317	1728855.584	1737366.979
bulk_initial_load/10000	3	base	1643070.797	1647502.930	1641644.745	1654942.699
bulk_initial_load/10000	3	head	1624336.616	1624931.651	1623709.530	1626349.546
bulk_initial_load/10000	4	base	1642523.117	1642882.905	1640341.849	1645681.986
bulk_initial_load/10000	4	head	1619102.481	1619726.549	1617290.032	1622250.789
bulk_initial_load/10000	5	base	1636052.748	1636827.292	1634235.589	1639468.963
bulk_initial_load/10000	5	head	1622476.737	1622531.675	1620983.398	1624120.232
bulk_initial_load/10000	6	base	1644568.067	1643252.584	1640336.696	1646140.659
bulk_initial_load/10000	6	head	1637665.485	1637980.118	1636636.659	1639442.489
bulk_initial_load/100000	1	base	29762922.000	29707114.309	29545811.337	29870958.677
bulk_initial_load/100000	1	head	30252653.652	30359548.776	30150881.721	30635086.496
bulk_initial_load/100000	2	base	25065872.025	25094160.062	25015316.309	25182287.013
bulk_initial_load/100000	2	head	28148005.359	28077001.098	27920910.734	28211093.877
bulk_initial_load/100000	3	base	29138834.425	29184673.160	29111637.757	29273492.772
bulk_initial_load/100000	3	head	28129816.214	28185378.905	27960440.343	28424409.575
bulk_initial_load/100000	4	base	24893650.981	24877362.415	24809084.450	24939459.293
bulk_initial_load/100000	4	head	25181051.708	25236222.835	25147325.584	25343691.053
bulk_initial_load/100000	5	base	29762757.857	29749397.106	29626307.825	29869289.311
bulk_initial_load/100000	5	head	24337102.814	24325733.663	24242397.595	24405375.869
bulk_initial_load/100000	6	base	27529323.389	27533452.019	27438073.414	27647837.306
bulk_initial_load/100000	6	head	27893709.708	27803537.282	27587081.339	27964310.467
rib_pipeline/1000	1	base	291499.716	291567.366	291198.655	291964.274
rib_pipeline/1000	1	head	284215.916	284335.000	283360.439	285310.448
rib_pipeline/1000	2	base	294548.552	295336.599	294019.399	296769.307
rib_pipeline/1000	2	head	287059.489	286922.890	285910.819	287819.445
rib_pipeline/1000	3	base	289759.648	289534.328	289081.134	289982.885
rib_pipeline/1000	3	head	286893.672	286730.605	285993.872	287448.971
rib_pipeline/1000	4	base	291735.325	291800.692	291380.413	292233.036
rib_pipeline/1000	4	head	288940.295	289021.655	288665.008	289367.633
rib_pipeline/1000	5	base	288632.050	288933.891	288443.469	289535.780
rib_pipeline/1000	5	head	285463.845	285532.593	285082.464	286054.509
rib_pipeline/1000	6	base	291394.880	291321.583	290652.555	292017.845
rib_pipeline/1000	6	head	287557.807	287880.779	287256.984	288576.359
rib_pipeline/10000	1	base	3542639.700	3573998.732	3531998.349	3617354.713
rib_pipeline/10000	1	head	3518449.280	3526264.956	3506463.669	3547730.423
rib_pipeline/10000	2	base	3562510.169	3563157.139	3545516.646	3581215.032
rib_pipeline/10000	2	head	3494144.249	3491957.456	3478379.557	3505580.911
rib_pipeline/10000	3	base	3610021.047	3615767.372	3592384.134	3641824.658
rib_pipeline/10000	3	head	3511325.347	3503376.441	3478653.591	3527994.239
rib_pipeline/10000	4	base	3559388.556	3557177.603	3539896.393	3573843.446
rib_pipeline/10000	4	head	3449360.740	3460736.448	3440123.730	3488365.381
rib_pipeline/10000	5	base	3560965.527	3570768.519	3551012.327	3592017.859
rib_pipeline/10000	5	head	3428267.675	3434381.858	3417334.579	3455032.885
rib_pipeline/10000	6	base	3521348.113	3530767.997	3511795.353	3550395.281
rib_pipeline/10000	6	head	3454327.091	3460916.738	3442984.381	3480351.246
rib_pipeline/50000	1	base	25812303.839	25830578.830	25761919.236	25922615.137
rib_pipeline/50000	1	head	24774050.181	24703386.701	24527396.682	24820694.712
rib_pipeline/50000	2	base	26261511.908	26184320.677	26011968.600	26313408.248
rib_pipeline/50000	2	head	25728833.625	25798856.048	25664051.461	25940095.414
rib_pipeline/50000	3	base	26340078.193	26415375.380	26290936.313	26573423.154
rib_pipeline/50000	3	head	25538776.629	25503018.928	25369399.456	25617362.039
rib_pipeline/50000	4	base	26267743.599	26279929.577	26198696.485	26365731.274
rib_pipeline/50000	4	head	25054635.211	25057432.704	25010217.687	25108858.155
rib_pipeline/50000	5	base	25816520.369	25824484.542	25786033.634	25865603.395
rib_pipeline/50000	5	head	24925153.524	24921925.449	24805795.572	25028612.337
rib_pipeline/50000	6	base	25577591.259	25709497.662	25566837.185	25875532.809
rib_pipeline/50000	6	head	25280146.674	25285574.509	25247044.780	25327823.707
