shape,prefixes,base_live_bytes,head_live_bytes,delta_pct,delta_mib,base_peak_bytes,head_peak_bytes,base_bytes_per_prefix,head_bytes_per_prefix,base_route_capacity,head_route_capacity,base_prefix_index_entries,head_prefix_index_entries,route_copies,attribute_sets,modeled_slice_pointer_growth_bytes,modeled_vec_header_savings_bytes,modeled_structural_delta_bytes,modeled_break_even_attribute_sets,review
adj_rib_in,100000,16079464,16079464,0.000,0.000,17652328,17652328,160,160,100000,100000,100000,100000,100000,1,800000,24,799976,33334,ok
adj_rib_in,500000,77109864,77109864,0.000,0.000,83401320,83401320,154,154,500000,500000,500000,500000,500000,1,4000000,24,3999976,166667,ok
adj_rib_in,900000,141417064,141417064,0.000,0.000,153999976,153999976,157,157,900000,900000,900000,900000,900000,1,7200000,24,7199976,300000,ok
full_rib,100000,54311340,54311340,0.000,0.000,55884204,55884204,543,543,314688,314688,200000,200000,300000,2,2400000,48,2399952,100000,ok
full_rib,500000,331430316,331430316,0.000,0.000,337721772,337721772,662,662,1917504,1917504,1000000,1000000,1500000,2,12000000,48,11999952,500000,ok
full_rib,900000,460044716,460044716,0.000,0.000,472627628,472627628,511,511,2717504,2717504,1800000,1800000,2700000,2,21600000,48,21599952,900000,ok
full_rib_diverse,100000,189888272,189888272,0.000,0.000,189890920,189890920,1898,1898,314688,314688,200000,200000,300000,100000,2400000,2400000,0,100000,ok
full_rib_diverse,500000,1012864784,1012864784,0.000,0.000,1012867432,1012867432,2025,2025,1917504,1917504,1000000,1000000,1500000,500000,12000000,12000000,0,500000,ok
full_rib_diverse,900000,1679079184,1679079184,0.000,0.000,1679081832,1679081832,1865,1865,2717504,2717504,1800000,1800000,2700000,900000,21600000,21600000,0,900000,ok
full_rib_representative,100000,,73656464,,,,,,,,,,,300000,14286,2400000,342864,2057136,100000,missing-row
full_rib_representative,500000,,428607824,,,,,,,,,,,1500000,71429,12000000,1714296,10285704,500000,missing-row
full_rib_representative,900000,,635202064,,,,,,,,,,,2700000,128572,21600000,3085728,18514272,900000,missing-row
rr_fanout,100000,86465388,86465388,0.000,0.000,88038252,88038252,864,864,514688,514688,400000,400000,500000,2,4000000,48,3999952,166667,ok
rr_fanout,500000,485645164,485645164,0.000,0.000,491936620,491936620,971,971,2917504,2917504,2000000,2000000,2500000,2,20000000,48,19999952,833334,ok
rr_fanout,900000,742873964,742873964,0.000,0.000,755456876,755456876,825,825,4517504,4517504,3600000,3600000,4500000,2,36000000,48,35999952,1500000,ok
rr_fanout_representative,100000,,105810512,,,,,,,,,,,500000,14286,4000000,342864,3657136,166667,missing-row
rr_fanout_representative,500000,,582822672,,,,,,,,,,,2500000,71429,20000000,1714296,18285704,833334,missing-row
rr_fanout_representative,900000,,918031312,,,,,,,,,,,4500000,128572,36000000,3085728,32914272,1500000,missing-row
