component	live_at_t_gmax_bytes	share_percent
Group RIB-Out table	46399748	22.059521
Loc-RIB best-path map	44302352	21.062370
Adj-RIB-In route storage	33556528	15.953555
Transport known-path memory	15204416	7.228533
Announcing-peers index	14942224	7.103881
Transport session buffers/scratch	3564671	1.694728
Prefix-trie index - Adj-RIB-In	17219712	8.186652
Prefix-trie index - group table	17215552	8.184674
Daemon core	4632060	2.202189
Transport import-decision cache	4674416	2.222326
RIB other	677220	0.321966
API / peer-manager	2521505	1.198782
Per-peer Adj-RIB-Out	98688	0.046919
Telemetry / tokio / rest	5329665	2.533847
other	120	0.000057
TOTAL	210338877	100.000000
