cell_id	attempt	utc	load_1m	load_1m_max	governor	required_governor	competing_process_count	competing_processes	status
baseline-best-100000-100-rep1-baseline-first-first	1	2026-07-13T07:17:46Z	1.36	2.0	performance	performance	0	none	pass
optimized-best-100000-100-rep1-baseline-first-second	1	2026-07-13T07:17:47Z	1.36	2.0	performance	performance	0	none	pass
optimized-best-100000-100-rep2-optimized-first-first	1	2026-07-13T07:17:48Z	1.33	2.0	performance	performance	0	none	pass
baseline-best-100000-100-rep2-optimized-first-second	1	2026-07-13T07:17:49Z	1.33	2.0	performance	performance	0	none	pass
baseline-best-100000-100-rep3-baseline-first-first	1	2026-07-13T07:17:50Z	1.33	2.0	performance	performance	0	none	pass
optimized-best-100000-100-rep3-baseline-first-second	1	2026-07-13T07:17:51Z	1.33	2.0	performance	performance	0	none	pass
optimized-best-100000-100-rep4-optimized-first-first	1	2026-07-13T07:17:52Z	1.33	2.0	performance	performance	0	none	pass
baseline-best-100000-100-rep4-optimized-first-second	1	2026-07-13T07:17:53Z	1.31	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-100-rep1-optimized-first-first	1	2026-07-13T07:17:54Z	1.31	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-100-rep1-optimized-first-second	1	2026-07-13T07:17:55Z	1.31	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-100-rep2-baseline-first-first	1	2026-07-13T07:17:57Z	1.31	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-100-rep2-baseline-first-second	1	2026-07-13T07:17:59Z	1.28	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-100-rep3-optimized-first-first	1	2026-07-13T07:18:00Z	1.28	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-100-rep3-optimized-first-second	1	2026-07-13T07:18:01Z	1.28	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-100-rep4-baseline-first-first	1	2026-07-13T07:18:04Z	1.26	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-100-rep4-baseline-first-second	1	2026-07-13T07:18:06Z	1.26	2.0	performance	performance	0	none	pass
baseline-best-100000-1000-rep1-baseline-first-first	1	2026-07-13T07:18:07Z	1.26	2.0	performance	performance	0	none	pass
optimized-best-100000-1000-rep1-baseline-first-second	1	2026-07-13T07:18:07Z	1.24	2.0	performance	performance	0	none	pass
optimized-best-100000-1000-rep2-optimized-first-first	1	2026-07-13T07:18:07Z	1.24	2.0	performance	performance	0	none	pass
baseline-best-100000-1000-rep2-optimized-first-second	1	2026-07-13T07:18:08Z	1.24	2.0	performance	performance	0	none	pass
baseline-best-100000-1000-rep3-baseline-first-first	1	2026-07-13T07:18:08Z	1.24	2.0	performance	performance	0	none	pass
optimized-best-100000-1000-rep3-baseline-first-second	1	2026-07-13T07:18:08Z	1.24	2.0	performance	performance	0	none	pass
optimized-best-100000-1000-rep4-optimized-first-first	1	2026-07-13T07:18:09Z	1.24	2.0	performance	performance	0	none	pass
baseline-best-100000-1000-rep4-optimized-first-second	1	2026-07-13T07:18:09Z	1.24	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-1000-rep1-optimized-first-first	1	2026-07-13T07:18:09Z	1.24	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-1000-rep1-optimized-first-second	1	2026-07-13T07:18:10Z	1.24	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-1000-rep2-baseline-first-first	1	2026-07-13T07:18:10Z	1.24	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-1000-rep2-baseline-first-second	1	2026-07-13T07:18:11Z	1.24	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-1000-rep3-optimized-first-first	1	2026-07-13T07:18:11Z	1.24	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-1000-rep3-optimized-first-second	1	2026-07-13T07:18:11Z	1.24	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-100000-1000-rep4-baseline-first-first	1	2026-07-13T07:18:12Z	1.24	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-100000-1000-rep4-baseline-first-second	1	2026-07-13T07:18:12Z	1.22	2.0	performance	performance	0	none	pass
baseline-best-400000-100-rep1-baseline-first-first	1	2026-07-13T07:18:13Z	1.22	2.0	performance	performance	0	none	pass
optimized-best-400000-100-rep1-baseline-first-second	1	2026-07-13T07:18:25Z	1.26	2.0	performance	performance	0	none	pass
optimized-best-400000-100-rep2-optimized-first-first	1	2026-07-13T07:18:37Z	1.22	2.0	performance	performance	0	none	pass
baseline-best-400000-100-rep2-optimized-first-second	1	2026-07-13T07:18:49Z	1.17	2.0	performance	performance	0	none	pass
baseline-best-400000-100-rep3-baseline-first-first	1	2026-07-13T07:19:01Z	1.22	2.0	performance	performance	0	none	pass
optimized-best-400000-100-rep3-baseline-first-second	1	2026-07-13T07:19:13Z	1.17	2.0	performance	performance	0	none	pass
optimized-best-400000-100-rep4-optimized-first-first	1	2026-07-13T07:19:25Z	1.15	2.0	performance	performance	0	none	pass
baseline-best-400000-100-rep4-optimized-first-second	1	2026-07-13T07:19:37Z	1.28	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-100-rep1-optimized-first-first	1	2026-07-13T07:19:49Z	1.59	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-100-rep1-optimized-first-second	1	2026-07-13T07:20:00Z	1.49	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-100-rep2-baseline-first-first	1	2026-07-13T07:21:40Z	1.22	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-100-rep2-baseline-first-second	1	2026-07-13T07:23:19Z	1.16	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-100-rep3-optimized-first-first	1	2026-07-13T07:23:31Z	1.29	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-100-rep3-optimized-first-second	1	2026-07-13T07:23:43Z	1.23	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-100-rep4-baseline-first-first	1	2026-07-13T07:25:22Z	1.11	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-100-rep4-baseline-first-second	1	2026-07-13T07:27:02Z	1.25	2.0	performance	performance	0	none	pass
baseline-best-400000-1000-rep1-baseline-first-first	1	2026-07-13T07:27:14Z	1.21	2.0	performance	performance	0	none	pass
optimized-best-400000-1000-rep1-baseline-first-second	1	2026-07-13T07:27:16Z	1.21	2.0	performance	performance	0	none	pass
optimized-best-400000-1000-rep2-optimized-first-first	1	2026-07-13T07:27:19Z	1.27	2.0	performance	performance	0	none	pass
baseline-best-400000-1000-rep2-optimized-first-second	1	2026-07-13T07:27:21Z	1.27	2.0	performance	performance	0	none	pass
baseline-best-400000-1000-rep3-baseline-first-first	1	2026-07-13T07:27:23Z	1.25	2.0	performance	performance	0	none	pass
optimized-best-400000-1000-rep3-baseline-first-second	1	2026-07-13T07:27:26Z	1.25	2.0	performance	performance	0	none	pass
optimized-best-400000-1000-rep4-optimized-first-first	1	2026-07-13T07:27:28Z	1.23	2.0	performance	performance	0	none	pass
baseline-best-400000-1000-rep4-optimized-first-second	1	2026-07-13T07:27:30Z	1.23	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-1000-rep1-optimized-first-first	1	2026-07-13T07:27:33Z	1.21	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-1000-rep1-optimized-first-second	1	2026-07-13T07:27:35Z	1.21	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-1000-rep2-baseline-first-first	1	2026-07-13T07:27:46Z	1.18	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-1000-rep2-baseline-first-second	1	2026-07-13T07:27:57Z	1.14	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-1000-rep3-optimized-first-first	1	2026-07-13T07:27:59Z	1.14	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-1000-rep3-optimized-first-second	1	2026-07-13T07:28:02Z	1.14	2.0	performance	performance	0	none	pass
baseline-grouped-advertised-400000-1000-rep4-baseline-first-first	1	2026-07-13T07:28:13Z	1.11	2.0	performance	performance	0	none	pass
optimized-grouped-advertised-400000-1000-rep4-baseline-first-second	1	2026-07-13T07:28:24Z	1.09	2.0	performance	performance	0	none	pass
