variant,commit,harness_sha256,scope,routes,page_size,repetition,pair_order,run_position,pages,rows,ordered_key_checksum,complete_ns,page_p50_ns,page_p99_ns,page_max_ns,rows_per_second
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,1,baseline-first,first,1000,100000,e7e602f74708727d,707269861,734709,898725,1735077,141388.748
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,1,baseline-first,second,1000,100000,e7e602f74708727d,722293286,745856,820709,1648928,138447.916
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,2,optimized-first,first,1000,100000,e7e602f74708727d,734029750,755822,1051624,1665443,136234.260
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,2,optimized-first,second,1000,100000,e7e602f74708727d,705459162,739898,804625,1755978,141751.650
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,3,baseline-first,first,1000,100000,e7e602f74708727d,707761448,742771,799767,1732724,141290.544
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,3,baseline-first,second,1000,100000,e7e602f74708727d,713580366,749843,807228,1702258,140138.385
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,4,optimized-first,first,1000,100000,e7e602f74708727d,715107602,744024,908129,1665543,139839.095
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,100,4,optimized-first,second,1000,100000,e7e602f74708727d,724181872,741621,817343,1718351,138086.859
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,1,optimized-first,first,938,93750,242350a28e9ceb63,673989074,727909,890122,947438,139097.210
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,1,optimized-first,second,938,93750,242350a28e9ceb63,1940891742,2068666,2398940,2915773,48302.539
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,2,baseline-first,first,938,93750,242350a28e9ceb63,2206402262,2350438,2678819,5766130,42489.985
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,2,baseline-first,second,938,93750,242350a28e9ceb63,680225308,740629,947068,996191,137821.982
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,3,optimized-first,first,938,93750,242350a28e9ceb63,699366566,753017,1075940,1185995,134049.874
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,3,optimized-first,second,938,93750,242350a28e9ceb63,2203661052,2353442,2658920,5688934,42542.840
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,4,baseline-first,first,938,93750,242350a28e9ceb63,1936710550,2074796,2330188,2878178,48406.821
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,100,4,baseline-first,second,938,93750,242350a28e9ceb63,676474896,731746,887138,908860,138586.074
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,1000,1,baseline-first,first,100,100000,e7e602f74708727d,105888184,1105995,1558182,2102577,944392.436
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,1000,1,baseline-first,second,100,100000,e7e602f74708727d,105669498,1108970,1495608,2071761,946346.882
