monotonic_seconds	utc	http_code	time_seconds
1348437.30	2026-07-20T03:25:32.931Z	200	0.012142
1348437.41	2026-07-20T03:25:33.045Z	200	0.002298
1348437.53	2026-07-20T03:25:33.159Z	200	0.002339
1348437.64	2026-07-20T03:25:33.271Z	200	0.002072
1348437.75	2026-07-20T03:25:33.383Z	200	0.001554
1348437.87	2026-07-20T03:25:33.495Z	200	0.002041
1348437.98	2026-07-20T03:25:33.607Z	200	0.001479
1348438.09	2026-07-20T03:25:33.722Z	200	0.002491
1348438.20	2026-07-20T03:25:33.835Z	200	0.001589
1348438.33	2026-07-20T03:25:33.964Z	200	0.016977
1348438.45	2026-07-20T03:25:34.081Z	200	0.006878
1348438.57	2026-07-20T03:25:34.196Z	200	0.004378
1348438.69	2026-07-20T03:25:34.317Z	200	0.009445
1348438.81	2026-07-20T03:25:34.440Z	200	0.011240
1348438.93	2026-07-20T03:25:34.556Z	200	0.004697
1348439.05	2026-07-20T03:25:34.678Z	200	0.009886
1348439.17	2026-07-20T03:25:34.804Z	200	0.015329
1348439.30	2026-07-20T03:25:34.926Z	200	0.011478
1348439.42	2026-07-20T03:25:35.047Z	200	0.009221
1348439.54	2026-07-20T03:25:35.166Z	200	0.008194
1348439.66	2026-07-20T03:25:35.288Z	200	0.011188
1348439.77	2026-07-20T03:25:35.405Z	200	0.006094
1348439.89	2026-07-20T03:25:35.524Z	200	0.008577
1348440.01	2026-07-20T03:25:35.642Z	200	0.006933
1348440.13	2026-07-20T03:25:35.761Z	200	0.008474
1348440.25	2026-07-20T03:25:35.885Z	200	0.012804
1348440.37	2026-07-20T03:25:36.004Z	200	0.007539
1348440.50	2026-07-20T03:25:36.128Z	200	0.013448
1348440.61	2026-07-20T03:25:36.242Z	200	0.003165
1348440.73	2026-07-20T03:25:36.358Z	200	0.005682
1348440.85	2026-07-20T03:25:36.479Z	200	0.009643
1348440.96	2026-07-20T03:25:36.594Z	200	0.003824
1348441.08	2026-07-20T03:25:36.710Z	200	0.004782
1348441.19	2026-07-20T03:25:36.825Z	200	0.004201
1348441.31	2026-07-20T03:25:36.943Z	200	0.006645
1348441.44	2026-07-20T03:25:37.066Z	200	0.011761
1348441.56	2026-07-20T03:25:37.194Z	200	0.016252
1348441.68	2026-07-20T03:25:37.315Z	200	0.009932
1348441.80	2026-07-20T03:25:37.433Z	200	0.006923
1348441.92	2026-07-20T03:25:37.552Z	200	0.008502
1348442.05	2026-07-20T03:25:37.683Z	200	0.019104
1348442.17	2026-07-20T03:25:37.799Z	200	0.005627
1348442.29	2026-07-20T03:25:37.919Z	200	0.009160
1348442.40	2026-07-20T03:25:38.034Z	200	0.003709
1348442.53	2026-07-20T03:25:38.155Z	200	0.010318
1348442.65	2026-07-20T03:25:38.277Z	200	0.011148
1348442.76	2026-07-20T03:25:38.394Z	200	0.005264
1348442.88	2026-07-20T03:25:38.513Z	200	0.008107
1348443.00	2026-07-20T03:25:38.633Z	200	0.009198
1348443.12	2026-07-20T03:25:38.752Z	200	0.006783
1348443.24	2026-07-20T03:25:38.867Z	200	0.003890
1348443.36	2026-07-20T03:25:38.992Z	200	0.013739
1348443.49	2026-07-20T03:25:39.118Z	200	0.015328
1348443.61	2026-07-20T03:25:39.236Z	200	0.006647
1348443.74	2026-07-20T03:25:39.365Z	200	0.018335
1348443.85	2026-07-20T03:25:39.483Z	200	0.006052
1348444.01	2026-07-20T03:25:39.639Z	200	0.045893
1348444.13	2026-07-20T03:25:39.760Z	200	0.009217
1348444.25	2026-07-20T03:25:39.878Z	200	0.006828
1348444.36	2026-07-20T03:25:39.992Z	200	0.002406
1348444.48	2026-07-20T03:25:40.110Z	200	0.008234
1348444.60	2026-07-20T03:25:40.231Z	200	0.009410
1348444.73	2026-07-20T03:25:40.364Z	200	0.021874
1348444.86	2026-07-20T03:25:40.487Z	200	0.011431
1348444.97	2026-07-20T03:25:40.601Z	200	0.003237
1348445.09	2026-07-20T03:25:40.720Z	200	0.008264
1348445.21	2026-07-20T03:25:40.839Z	200	0.008391
1348445.33	2026-07-20T03:25:40.958Z	200	0.007867
1348445.45	2026-07-20T03:25:41.084Z	200	0.015729
1348445.57	2026-07-20T03:25:41.204Z	200	0.008371
1348445.69	2026-07-20T03:25:41.321Z	200	0.006920
1348445.82	2026-07-20T03:25:41.452Z	200	0.018628
1348445.94	2026-07-20T03:25:41.568Z	200	0.005487
1348446.07	2026-07-20T03:25:41.699Z	200	0.020350
1348446.21	2026-07-20T03:25:41.839Z	200	0.027653
1348446.33	2026-07-20T03:25:41.956Z	200	0.006733
1348446.44	2026-07-20T03:25:42.075Z	200	0.007891
1348446.56	2026-07-20T03:25:42.195Z	200	0.008633
1348446.69	2026-07-20T03:25:42.324Z	200	0.017321
