source	run	mode	release_ns	sentinel_ns	expected_v4	expected_v6	expected_v4_checksum	expected_v6_checksum	loc_v4_before	loc_v6_before	loc_v4_after	loc_v6_after	release_delta	timeout_delta	active_gates_after	released_gates_after	timer_gates_after	ledger_cleared	observed_gates	overflows_before	eor_markers	eor_complete_peers	peers_with_route_payload
baseline	control-before	control_no_release	0	8292	400400	0	10995227209291269251	0	0	0	0	0	0	0	1	0	0	0	1	0	0	700	0
baseline	ipv4-1	ipv4_normal	54187258828	54187265387	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
baseline	ipv4-2	ipv4_normal	53466396268	53466403319	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
baseline	ipv4-3	ipv4_normal	53676616228	53676623319	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
baseline	ipv4-4	ipv4_normal	53613148786	53613156016	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
baseline	ipv4-5	ipv4_normal	53307727992	53307734892	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
baseline	dual-1	dual_normal	51518302118	51518308908	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
baseline	dual-2	dual_normal	51642288118	51642294327	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
baseline	dual-3	dual_normal	51656277695	51656284695	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
baseline	dual-4	dual_normal	51795545957	51795553168	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
baseline	dual-5	dual_normal	51500063351	51500070201	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
baseline	seven-1	seven_gate_normal	51861180646	51861187546	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
baseline	seven-2	seven_gate_normal	51907961783	51907968713	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
baseline	seven-3	seven_gate_normal	51661736838	51661744159	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
baseline	seven-4	seven_gate_normal	51839969264	51839971327	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
baseline	seven-5	seven_gate_normal	51916185432	51916187274	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
baseline	control-after	control_no_release	0	6009	400400	0	10995227209291269251	0	0	0	0	0	0	0	1	0	0	0	1	0	0	700	0
candidate	00-control	control_no_release	0	1602	400400	0	10995227209291269251	0	0	0	0	0	0	0	1	0	0	0	1	0	0	700	0
candidate	01-ipv4	ipv4_normal	811414076	811421707	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
candidate	02-dual	dual_normal	1131874656	1131882578	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
candidate	03-seven	seven_gate_normal	1153136138	1153144250	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
candidate	04-dual	dual_normal	1150249745	1150257227	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
candidate	05-seven	seven_gate_normal	1447364142	1447366316	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
candidate	06-ipv4	ipv4_normal	804204709	804213382	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
candidate	07-seven	seven_gate_normal	1490962666	1490970569	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
candidate	08-ipv4	ipv4_normal	812869837	812877488	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
candidate	09-dual	dual_normal	1198458013	1198466266	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
candidate	10-ipv4	ipv4_normal	792260802	792268684	400400	0	10995227209291269251	0	0	0	400400	0	1	1	0	1	1	1	1	0	700	700	700
candidate	11-seven	seven_gate_normal	1457121125	1457129017	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	7	7	0	7	7	1	7	0	1400	700	700
candidate	12-dual	dual_normal	1460629419	1460636831	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
candidate	13-dual	dual_normal	1169882940	1169884802	200200	200200	15621228338674602319	8101660337594402612	0	0	200200	200200	2	2	0	2	2	1	2	0	1400	700	700
