routes,sources,attempt,run_order,control_median_ns,control_ci95_low_ns,control_ci95_high_ns,candidate_median_ns,candidate_ci95_low_ns,candidate_ci95_high_ns,candidate_delta_percent
65536,1,1,control-candidate,2673601.737500,2667015.022569,2695585.556548,2775142.191667,2699887.666667,2819422.125000,3.797890
65536,1,2,candidate-control,2665839.819444,2652921.337500,2688802.750000,2793779.588542,2759548.579167,2868674.256944,4.799229
65536,1,3,control-candidate,2671125.333333,2665496.093750,2681062.033482,2715347.437500,2705586.325000,2762133.541667,1.655561
65536,1,4,candidate-control,2680266.906250,2673400.690972,2687517.257143,2698028.506944,2693960.750000,2702871.250000,0.662680
65536,8,1,control-candidate,3958459.437500,3933876.500000,3965836.666667,2905006.400000,2880562.333333,2941415.111111,-26.612703
65536,8,2,candidate-control,3953079.776786,3936497.100000,3977119.388889,3077052.937500,3008553.450000,3139263.906250,-22.160616
65536,8,3,control-candidate,3962860.733333,3946896.645833,4082265.494048,2883459.718750,2878098.875000,2885128.586111,-27.237924
65536,8,4,candidate-control,3961608.491667,3956366.276042,3975880.250000,2872301.216667,2865226.583333,2925316.312500,-27.496591
65536,256,1,control-candidate,4265665.433333,4238902.857143,4303578.984375,3042254.326389,2989926.200000,3063937.208333,-28.680428
65536,256,2,candidate-control,4245664.408482,4193710.958333,4284868.550000,3341063.154762,3292231.968750,3409512.635417,-21.306471
65536,256,3,control-candidate,4301927.214286,4259791.229167,4479835.093750,2930752.833333,2924302.545139,2973273.862500,-31.873491
65536,256,4,candidate-control,4254659.645833,4240931.375000,4286776.604167,2945744.492857,2922814.812500,3043471.750000,-30.764274
65536,1000,1,control-candidate,5382002.767857,5337329.675000,5420072.041667,4080064.637500,3927404.208333,4311962.666667,-24.190588
65536,1000,2,candidate-control,5049518.031250,5021444.000000,5095539.521875,4067376.146875,4030271.443750,4144545.625000,-19.450210
65536,1000,3,control-candidate,4974148.078125,4968574.736111,5005295.958333,3735969.456250,3722445.500000,3779080.116319,-24.892275
65536,1000,4,candidate-control,5058155.619048,5051458.975000,5087011.703125,3716260.796875,3702968.236111,3773044.666667,-26.529331
400000,1,1,control-candidate,17894318.133333,17859862.500000,17922684.314286,18743602.466667,18596373.100000,19132476.333333,4.746112
400000,1,2,candidate-control,17642463.071429,17588678.000000,17711074.800000,19429582.142857,19204793.722222,19961291.666667,10.129646
400000,1,3,control-candidate,17681381.400000,17650898.053571,17735132.100000,18327438.169643,18320899.000000,18394922.500000,3.653882
400000,1,4,candidate-control,17743132.250000,17725494.100000,17772658.600000,18215208.708333,18173434.055556,18332934.850000,2.660615
400000,8,1,control-candidate,68375070.833333,67560758.500000,69122108.833333,19971595.688889,19752305.000000,20002473.266667,-70.791115
400000,8,2,candidate-control,67541191.333333,66973599.666667,68064865.000000,19841408.128571,19806596.400000,20011025.125000,-70.623248
400000,8,3,control-candidate,67829972.833333,67488652.000000,68175350.333333,19706851.800000,19605840.562500,19810935.571429,-70.946691
400000,8,4,candidate-control,67345529.166667,67116272.666667,67900456.666667,19521090.044444,19459804.175000,19697736.020833,-71.013532
400000,256,1,control-candidate,66540859.333333,66419599.833333,66811296.000000,20273365.442857,20025697.000000,20465804.862500,-69.532456
400000,256,2,candidate-control,67068740.666667,66802360.333333,67262559.666667,19831097.666667,19761758.404762,20009980.500000,-70.431683
400000,256,3,control-candidate,67330494.000000,67058431.666667,67911977.333333,19964247.400000,19822327.000000,20017816.611111,-70.348877
400000,256,4,candidate-control,66859304.500000,66694663.166667,67092794.166667,19902961.041667,19875637.285714,19930383.000000,-70.231576
400000,1000,1,control-candidate,48506742.833333,48257885.166667,48794109.666667,20600222.553571,20352411.111111,20794628.800000,-57.531219
400000,1000,2,candidate-control,49471630.666667,49072740.166667,50834843.000000,19428738.800000,19398138.293651,19647616.375000,-60.727515
400000,1000,3,control-candidate,48797982.166667,48333176.666667,49063049.333333,19636508.950000,19417801.000000,19782002.750000,-59.759588
400000,1000,4,candidate-control,48619614.666667,48282480.166667,48934978.666667,20001361.157143,19915782.500000,20080570.666667,-58.861539
