campaign,mode,clients,candidates,prefixes,repetition,pair_order,base_rate,head_rate,head_improvement_percent
3,churn,256,256,3000,1,base-first,62.934266433,61.628430049,-2.074921
3,churn,256,256,3000,2,head-first,59.017540353,65.836832633,11.554687
3,churn,1000,1000,3000,1,base-first,22.528597832,23.910547596,6.134202
3,churn,1000,1000,3000,2,head-first,22.186687987,24.404851026,9.997720
3,flood,256,0,100000,1,base-first,1.940974469,1.928497256,-0.642832
3,flood,256,0,100000,2,head-first,1.945428244,1.959535590,0.725154
3,flood,1000,0,100000,1,base-first,0.770824300,0.764379897,-0.836040
3,flood,1000,0,100000,2,head-first,0.783507174,0.773320445,-1.300145
4,churn,256,256,3000,1,base-first,57.818199990,60.034991252,3.834072
4,churn,256,256,3000,2,head-first,59.914051569,68.575998401,14.457288
4,churn,1000,1000,3000,1,base-first,22.445510898,24.030775380,7.062724
4,churn,1000,1000,3000,2,head-first,22.272159800,24.420695166,9.646731
4,flood,256,0,100000,1,base-first,1.916273585,1.906810737,-0.493815
4,flood,256,0,100000,2,head-first,1.893373194,1.941940945,2.565144
4,flood,1000,0,100000,1,base-first,0.769119838,0.776435192,0.951133
4,flood,1000,0,100000,2,head-first,0.785276074,0.762304064,-2.925342
5,churn,256,256,3000,1,base-first,59.532140358,69.736052789,17.140174
5,churn,256,256,3000,2,head-first,63.842541712,73.059817101,14.437513
5,churn,1000,1000,3000,1,base-first,21.581655593,24.836340013,15.080791
5,churn,1000,1000,3000,2,head-first,21.840171923,24.720335597,13.187459
5,flood,256,0,100000,1,base-first,1.926496740,1.923076923,-0.177515
5,flood,256,0,100000,2,head-first,1.921750271,1.924405408,0.138162
5,flood,1000,0,100000,1,base-first,0.762631077,0.798722045,4.732428
5,flood,1000,0,100000,2,head-first,0.755857899,0.786782061,4.091267
