comparison,benchmark,attempt,order,base_median_ns,base_ci_low_ns,base_ci_high_ns,head_median_ns,head_ci_low_ns,head_ci_high_ns,delta_percent
"attr-same-sha","attr_encode/rich/11",1,"base-head",481.71976583774904,481.118662928984,482.37268373060755,492.1177918287323,491.58776998125575,493.10515551651247,2.15852176480662
"attr-same-sha","attr_encode/rich/11",2,"head-base",497.28305140946645,495.99149825783974,497.84531534404164,479.6731118150143,478.7133521566743,481.3274171357098,-3.541230601875467
"attr-same-sha","attr_encode/rich/11",3,"base-head",481.43850736231275,481.0788488210818,482.1800599800472,482.52947214452513,482.09005106889504,483.25641150658214,0.2266052186372658
"attr-same-sha","attr_encode/rich/11",4,"head-base",483.00238175126077,482.40520025336696,483.4755892400884,496.20119710281,495.1649103649104,497.25056957784227,2.7326605106362534
"attr-same-sha","attr_encode/rich/11",5,"base-head",477.2601394947568,475.37548955076517,478.32902666310883,483.6197048781411,482.8133814760107,484.5044569588052,1.3325155103287578
"attr-same-sha","attr_encode/rich/11",6,"head-base",488.8109706991213,487.5027121286722,489.83409261706703,485.9724318591218,485.38451808889585,486.47524875695603,-0.580702768585506
"attr-target","attr_encode/rich/11",1,"base-head",500.22247094122093,497.5090766843398,503.5033783783784,357.4292294823748,356.95357801471476,357.9186517099545,-28.54594700437302
"attr-target","attr_encode/rich/11",2,"head-base",490.33297954204204,489.12299107142854,491.88517824074074,357.9175202081024,357.08450507543535,358.4284549037974,-27.005211735423572
"attr-target","attr_encode/rich/11",3,"base-head",491.1982152856243,490.6266581378046,491.8126264747284,352.7661554112102,352.21765519703666,353.2725044071049,-28.182525010584158
"attr-target","attr_encode/rich/11",4,"head-base",491.1898083216456,489.91920062267184,495.09214861947504,348.12690524553057,347.1320389097069,349.4315113110936,-29.125788168315015
"attr-target","attr_encode/rich/11",5,"base-head",488.1380602845855,487.4771421764566,488.766696005076,352.3865815184205,351.7807358237413,353.21916796215504,-27.810058221442844
"attr-target","attr_encode/rich/11",6,"head-base",491.6433823925122,489.0814271506713,494.11131633160477,347.15974504648324,346.16571049316053,348.65681595704905,-29.38789425841959
"validate-same-sha","validate_update",1,"base-head",156.41673642921077,156.3022445769494,156.49610909282367,156.47603688459714,156.42292347553217,156.6406580714005,0.037911835229476054
"validate-same-sha","validate_update",2,"head-base",156.07202851719617,155.95992286506504,156.1772721109956,156.53510512590913,156.43907463159562,156.67500447281438,0.29670698402046725
"validate-same-sha","validate_update",3,"base-head",156.35856491422638,156.26223360949277,156.46644298016753,156.33840836391278,156.25069739966864,156.41463847881053,-0.012891235171319515
"validate-same-sha","validate_update",4,"head-base",156.24884993947052,156.17225750195905,156.3572468726424,156.3621454805142,156.24027192035953,156.44508186824783,0.07250967996728086
"validate-same-sha","validate_update",5,"base-head",156.31112300849145,156.21533960147568,156.42812416200942,155.15201364645674,155.10329153605016,155.22560456784595,-0.7415399107405407
"validate-same-sha","validate_update",6,"head-base",156.2064657973222,156.0992125210452,156.29978186286243,156.22015474653705,156.14068435460098,156.3481364497789,0.008763369137732013
"validate-target","validate_update",1,"base-head",156.86603427925502,156.72036143625434,157.0157980069598,14.341485443927617,14.316276306856755,14.380594799803049,-90.85749473439438
"validate-target","validate_update",2,"head-base",156.13907575279458,156.08764675943362,156.19868615485365,14.667189495739423,14.626641725078734,14.71447675395672,-90.60633001378778
"validate-target","validate_update",3,"base-head",156.48223980062411,156.33153591401503,156.61659773198033,14.3006230897977,14.28406345510115,14.336272784606361,-90.86118456125226
"validate-target","validate_update",4,"head-base",155.99113527183576,155.89552948738552,156.08640494938135,16.51146737164038,16.480673206171517,16.634469142984887,-89.41512455636219
"validate-target","validate_update",5,"base-head",156.2307045333361,156.09766833109913,156.36952778512472,14.260095626246944,14.248929334064961,14.270598466472212,-90.87241162430772
"validate-target","validate_update",6,"head-base",155.74168967495274,155.67142637810815,155.84399392848368,14.285979214159331,14.265427826002703,14.293793054223148,-90.82713225728097
